index,mean,median,count
Rural,13275.48335863572,6177.85986328125,5535
Semi-Urban,12996.073728644798,6327.002001953125,306
Urban,15175.701355282758,7345.3447265625,4249
!Karas,16986.364481436336,6157.233072916667,559
Erongo,13048.146417889911,7849.02880859375,828
Hardap,12871.246335431946,6624.27978515625,561
Kavango East,7450.129955447469,3998.8899739583335,554
Kavango West,8460.777232816192,4576.182013494318,568
Khomas,21702.51340951194,10274.71142578125,1084
Kunene,9817.590490323384,3900.0,570
Ohangwena,14535.019175744123,8225.541666666666,854
Omaheke,11446.346772769986,4992.00048828125,557
Omusati,12263.615208749234,7278.610491071428,854
Oshana,20399.243250851698,9906.12158203125,846
Oshikoto,14170.351484742449,7018.87353515625,852
Otjozondjupa,16610.15208299305,6280.213541666667,837
Zambezi,6834.367123442306,3876.5697021484375,566
Female,12994.484736405879,6240.66015625,4616
Male,14971.796212342188,6935.066569010416,5474
0-18,12145.346476456927,6783.3701171875,37
18-59,14516.8357237015,6949.26708984375,7809
60+,12534.227283242588,5614.892020089286,2244
No formal education,10916.109367209529,4669.544270833333,1905
Not stated,7990.428979655523,4319.91796875,55
Primary,11692.030272291713,5553.794921875,2725
Secondary,14375.740475651966,7585.541455078125,4170
Tertiary,22347.857006351765,10915.912109375,946
1,1412.0555752110438,1345.0955810546875,675
2,2594.9535724314405,2575.0452473958335,765
3,3733.3533381942543,3774.048828125,839
4,4832.237194436393,4919.11376953125,854
5,6139.4596802901515,6224.328287760416,950
6,7804.453587522865,7544.628662109375,1008
7,10172.474573136125,9495.638020833334,1101
8,13610.527181519503,12324.0,1197
9,18271.62909432894,14946.1669921875,1283
10,47325.31129535616,20905.9501953125,1418
Afrikaans,19593.871989399522,9073.609375,715
English,23908.66923896204,14164.8,111
German,88471.0202501085,17101.240234375,33
Khoisan,8148.859382230602,3297.7987726384945,146
Nama/Damara,9952.398716398651,4781.723876953125,1292
Oshiwambo,15168.689485194483,7968.65478515625,4610
Other,25088.27310606431,9750.388671875,165
Other African,18630.026756337753,8243.749348958332,108
Other European,21629.00769391741,10322.001302083334,35
Otjiherero,14136.273310595716,5695.352294921875,1000
Rukavango,9682.88171294935,4520.00830078125,1272
Setswana,11070.10630123453,6885.4501953125,31
Zambezi languages,8172.27811013048,4142.44990234375,572
