index,Wheat flour/bread,Other cereals,Rice,Oils/fats
Rural,3.7855396437303526,6.37984496124031,2.7680168332456603,6.422677982083923
Semi-Urban,4.42654028436019,5.946153846153846,2.6139240506329116,6.553846153846154
Urban,5.414305364511692,5.351208014142604,2.9336609336609336,6.548290013679891
!Karas,5.516528925619835,5.723404255319149,2.717808219178082,6.525164113785558
Erongo,5.2794326241134755,5.281456953642384,2.8946428571428573,6.60377358490566
Hardap,4.664031620553359,5.217038539553752,2.401595744680851,6.411347517730497
Kavango East,4.621818181818182,6.193684210526316,3.240506329113924,6.363636363636363
Kavango West,2.9504504504504503,6.447524752475248,2.033333333333333,6.087071240105541
Khomas,5.51357220412595,5.069605568445476,2.885314685314685,6.547149122807017
Kunene,3.7485549132947975,6.124293785310734,2.5852713178294575,5.942857142857143
Ohangwena,3.8390022675736963,6.297142857142857,3.2459016393442623,6.767441860465116
Omaheke,4.206896551724138,6.016528925619835,2.440677966101695,6.096852300242131
Omusati,4.042016806722689,6.415503875968993,2.642611683848797,6.564979480164158
Oshana,5.239549839228296,6.1017191977077365,3.3181818181818183,6.7560321715817695
Oshikoto,4.519813519813519,6.392764857881137,3.119186046511628,6.6738505747126435
Otjozondjupa,4.608391608391608,5.7178362573099415,2.7214137214137213,6.283261802575107
Zambezi,4.10997442455243,6.520947176684881,3.1387755102040815,6.528225806451613
Female,4.604666234607906,5.96875,2.8574571051473825,6.519703782068236
Male,4.759315484405189,5.937873093079815,2.860721062618596,6.451553930530165
0-18,3.75,5.466666666666667,3.1538461538461537,6.636363636363637
18-59,4.807836520434946,5.832488089749501,2.869738480697385,6.476429918290384
60+,4.229580573951435,6.371957671957672,2.8068181818181817,6.505364201016375
No formal education,3.5715962441314555,6.525586995785671,2.604330708661417,6.278026905829597
Not stated,4.535714285714286,6.229166666666667,2.72,6.595238095238095
Primary,4.113060428849902,6.304883227176221,2.7109375,6.448048895157499
Secondary,4.943089430894309,5.7064327485380115,2.8959442851290453,6.5480984340044746
Tertiary,5.746760895170789,5.026170798898072,3.0648801128349787,6.592995169082125
1,2.8034188034188032,6.524271844660194,2.6377952755905514,6.135831381733021
2,3.36046511627907,6.60207100591716,2.442211055276382,6.266429840142096
3,3.7466367713004485,6.48431105047749,2.7765151515151514,6.436447166921899
4,3.9818548387096775,6.359945872801083,2.4834834834834836,6.5081240768094535
5,4.152920962199313,6.301568154402895,2.892230576441103,6.525
6,4.535502958579881,6.182558139534883,2.8285714285714287,6.445520581113802
7,4.916237113402062,5.915198237885463,2.807817589576547,6.62987012987013
8,5.0212527964205815,5.745454545454545,2.960294117647059,6.56056056056056
9,5.345785440613027,5.333010648596321,3.004750593824228,6.54954954954955
10,5.445357436318817,4.901056676272814,2.9587939698492463,6.480295566502463
Afrikaans,5.605105105105105,5.120075046904315,2.6544117647058822,6.456140350877193
English,5.47,4.259740259740259,2.892857142857143,6.352941176470588
German,5.821428571428571,5.380952380952381,2.9565217391304346,6.3076923076923075
Khoisan,2.861111111111111,6.389705882352941,1.9047619047619047,5.524390243902439
Nama/Damara,4.306498545101843,5.4556053811659195,2.5184243964421853,6.321862348178137
Oshiwambo,4.782594086021505,6.108965882041788,3.0354675264854905,6.664432989690722
Other,5.325581395348837,5.153846153846154,2.9722222222222223,6.322033898305085
Other African,5.914634146341464,5.164835164835165,3.0704225352112675,6.612903225806452
Other European,6.0,5.0,4.6923076923076925,6.612903225806452
Otjiherero,4.428099173553719,5.930555555555555,2.722707423580786,6.124378109452737
Rukavango,3.8551959114139693,6.354037267080745,2.57556270096463,6.263936291240046
Setswana,4.565217391304348,4.888888888888889,2.388888888888889,6.684210526315789
Zambezi languages,4.395631067961165,6.4025735294117645,3.195804195804196,6.580708661417323
