index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
Rural,0.001047851903597625,0.010827803003842123,0.00034928396786587494,0.8162766329025498,0.0006985679357317499,0.0024449877750611247,0.024100593782745372,0.07020607754104087,0.0006985679357317499,0.07055536150890675,0.0027942717429269995,0.006285355122564425,0.023465325790907186,0.0033521893987010264,0.528807877645087,0.002095118374188142,0.11460297506809135,0.03142677561282212,0.038131154410224175,0.001047559187094071,0.24470982610517494,0.006075843285145611,0.0010520778537611783,0.016833245660178853,0.0,0.8784850078905839,0.0005260389268805891,0.009468700683850605,0.023145712782745922,0.06628090478695424,0.0021041557075223566,0.0,0.0021041557075223566,0.004479019330504479,0.021216407355021217,0.0021216407355021216,0.8797736916548797,0.0023573785950023575,0.0011786892975011788,0.02616690240452617,0.04266855256954267,0.0004714757190004715,0.017444601603017446,0.0021216407355021216
Semi-Urban,0.0,0.009478672985781991,0.0,0.9052132701421801,0.0,0.0,0.03317535545023697,0.04265402843601896,0.004739336492890996,0.004739336492890996,0.0,0.007692307692307693,0.023076923076923078,0.0,0.7346153846153847,0.0,0.04230769230769231,0.019230769230769232,0.05,0.0,0.12307692307692308,0.0,0.012658227848101266,0.0189873417721519,0.0,0.8924050632911392,0.0,0.006329113924050633,0.02531645569620253,0.04430379746835443,0.0,0.0,0.0,0.007692307692307693,0.015384615384615385,0.0,0.926923076923077,0.0,0.0,0.023076923076923078,0.019230769230769232,0.0,0.007692307692307693,0.0
Urban,0.0005502063273727648,0.0041265474552957355,0.0002751031636863824,0.9551581843191197,0.0,0.0002751031636863824,0.010178817056396148,0.008803301237964236,0.001375515818431912,0.017606602475928473,0.0016506189821182944,0.002357100766057749,0.0041249263406010605,0.0002946375957572186,0.9021803182086034,0.0008839127872716559,0.022687094873305835,0.0026517383618149676,0.04124926340601061,0.0020624631703005302,0.020035356511490868,0.0014731879787860931,0.000702000702000702,0.003861003861003861,0.000351000351000351,0.9768339768339769,0.000351000351000351,0.000702000702000702,0.005265005265005265,0.009828009828009828,0.000702000702000702,0.000702000702000702,0.000702000702000702,0.002188782489740082,0.004103967168262654,0.0,0.9770177838577291,0.0,0.0005471956224350205,0.003283173734610123,0.007934336525307797,0.0008207934336525308,0.0035567715458276333,0.0005471956224350205
!Karas,0.0,0.012396694214876033,0.0,0.8842975206611571,0.0,0.004132231404958678,0.010330578512396695,0.0,0.002066115702479339,0.08264462809917356,0.004132231404958678,0.004728132387706856,0.030732860520094562,0.0,0.9290780141843972,0.0,0.02127659574468085,0.0,0.002364066193853428,0.002364066193853428,0.009456264775413711,0.0,0.0,0.0273972602739726,0.0,0.9643835616438357,0.0,0.0,0.0,0.005479452054794521,0.0,0.0,0.0027397260273972603,0.0087527352297593,0.019693654266958426,0.0,0.925601750547046,0.0,0.002188183807439825,0.0175054704595186,0.00437636761487965,0.0,0.019693654266958426,0.002188183807439825
Erongo,0.0014184397163120568,0.005673758865248227,0.0,0.9588652482269504,0.0,0.0,0.01276595744680851,0.014184397163120567,0.0,0.00425531914893617,0.0028368794326241137,0.0,0.006622516556291391,0.0,0.9470198675496688,0.0,0.026490066225165563,0.011589403973509934,0.004966887417218543,0.0016556291390728477,0.0016556291390728477,0.0,0.0,0.005357142857142857,0.0,0.9767857142857143,0.0,0.0017857142857142857,0.010714285714285714,0.0017857142857142857,0.0017857142857142857,0.0,0.0017857142857142857,0.0,0.005390835579514825,0.0,0.9865229110512129,0.0,0.0013477088948787063,0.005390835579514825,0.0013477088948787063,0.0,0.0,0.0
Hardap,0.001976284584980237,0.01383399209486166,0.0,0.7430830039525692,0.0,0.001976284584980237,0.029644268774703556,0.02766798418972332,0.001976284584980237,0.17786561264822134,0.001976284584980237,0.0,0.010141987829614604,0.0,0.821501014198783,0.002028397565922921,0.11156186612576065,0.02434077079107505,0.02231237322515213,0.0,0.004056795131845842,0.004056795131845842,0.0026595744680851063,0.0026595744680851063,0.0,0.9281914893617021,0.0,0.0026595744680851063,0.018617021276595744,0.0398936170212766,0.0,0.0,0.005319148936170213,0.002364066193853428,0.01182033096926714,0.0,0.9219858156028369,0.0,0.0,0.016548463356973995,0.018912529550827423,0.0,0.028368794326241134,0.0
Kavango East,0.0,0.0,0.0,0.9709090909090909,0.0,0.0,0.0,0.02181818181818182,0.0,0.007272727272727273,0.0,0.010526315789473684,0.02526315789473684,0.008421052631578947,0.7768421052631579,0.002105263157894737,0.056842105263157895,0.002105263157894737,0.07789473684210527,0.002105263157894737,0.029473684210526315,0.008421052631578947,0.006329113924050633,0.0,0.0,0.9430379746835443,0.0,0.02531645569620253,0.0,0.02531645569620253,0.0,0.0,0.0,0.01652892561983471,0.011019283746556474,0.0,0.9338842975206612,0.0,0.0027548209366391185,0.0027548209366391185,0.03305785123966942,0.0,0.0,0.0
Kavango West,0.0,0.009009009009009009,0.0,0.8288288288288288,0.0,0.0,0.009009009009009009,0.13963963963963963,0.0,0.013513513513513514,0.0,0.013861386138613862,0.033663366336633666,0.013861386138613862,0.5881188118811881,0.0,0.09504950495049505,0.009900990099009901,0.06732673267326733,0.009900990099009901,0.1405940594059406,0.027722772277227723,0.0,0.0,0.0,0.8444444444444444,0.0,0.011111111111111112,0.011111111111111112,0.08888888888888889,0.044444444444444446,0.0,0.0,0.005277044854881266,0.023746701846965697,0.002638522427440633,0.841688654353562,0.023746701846965697,0.0,0.0079155672823219,0.05804749340369393,0.005277044854881266,0.023746701846965697,0.0079155672823219
Khomas,0.0,0.0054288816503800215,0.0,0.9337676438653637,0.0,0.0,0.026058631921824105,0.014115092290988056,0.002171552660152009,0.016286644951140065,0.002171552660152009,0.002320185614849188,0.010440835266821345,0.0,0.9095127610208816,0.0,0.016241299303944315,0.02088167053364269,0.037122969837587005,0.0,0.001160092807424594,0.002320185614849188,0.0013986013986013986,0.004195804195804196,0.0,0.9678321678321679,0.0013986013986013986,0.0,0.019580419580419582,0.005594405594405594,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.9583333333333334,0.0,0.0010964912280701754,0.020833333333333332,0.009868421052631578,0.0010964912280701754,0.0010964912280701754,0.0010964912280701754
