index,crops_possessed_1,crops_possessed_1,crops_possessed_1,crops_possessed_2,crops_possessed_2,crops_possessed_2,crops_possessed_3,crops_possessed_3,crops_possessed_3,crops_possessed_4,crops_possessed_4,crops_possessed_4,crops_possessed_5,crops_possessed_5,crops_possessed_5,crops_possessed_6,crops_possessed_6,crops_possessed_6
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
Rural,235.58662613981764,50.0,658,322.87639946260634,150.0,2233,61.711711711711715,25.0,666,92.85714285714286,50.0,7,,,0,203.44444444444446,50.0,9
Semi-Urban,180.7037037037037,30.0,27,278.6060606060606,84.5,66,27.941176470588236,20.0,17,,,0,,,0,,,0
Urban,96.30357142857143,50.0,56,710.9230769230769,150.0,78,167.30434782608697,50.0,23,,,0,,,0,5.0,5.0,1
!Karas,31.0,31.0,2,600.0,600.0,1,,,0,,,0,,,0,,,0
Erongo,200.0,200.0,1,332.0,250.0,5,50.0,50.0,1,,,0,,,0,,,0
Hardap,87.5,87.5,2,266.6666666666667,300.0,3,2.0,2.0,1,,,0,,,0,,,0
Kavango East,149.06666666666666,100.0,75,219.66666666666666,100.0,111,79.375,75.0,8,,,0,,,0,1.0,1.0,1
Kavango West,148.16931216931218,100.0,189,245.08304498269896,100.0,289,66.43859649122807,50.0,57,,,0,,,0,,,0
Khomas,68.0,20.0,13,3670.0,1500.0,9,188.33333333333334,60.0,9,,,0,,,0,5.0,5.0,1
Kunene,188.75,75.0,16,350.0,350.0,2,50.0,50.0,1,50.0,50.0,1,,,0,350.0,150.0,5
Ohangwena,23.778947368421054,4.0,95,365.1190476190476,140.0,588,28.642201834862384,20.0,218,,,0,,,0,,,0
Omaheke,193.35294117647058,20.0,17,,,0,,,0,,,0,,,0,,,0
Omusati,453.09859154929575,20.0,71,409.9847908745247,200.0,526,81.4703196347032,50.0,219,,,0,,,0,,,0
Oshana,76.75,17.5,36,279.6896551724138,125.0,348,73.47368421052632,30.0,95,,,0,,,0,50.0,50.0,1
Oshikoto,87.23809523809524,25.0,63,281.8127659574468,120.0,470,81.21951219512195,27.5,82,100.0,85.0,6,,,0,,,0
Otjozondjupa,107.875,7.0,16,20.0,20.0,1,137.66666666666666,10.0,3,,,0,,,0,,,0
Zambezi,510.77241379310345,100.0,145,111.45833333333333,87.5,24,88.75,50.0,12,,,0,,,0,15.0,15.0,2
Female,147.30028328611897,40.0,353,287.5047204066812,140.0,1377,58.37837837837838,25.0,407,86.0,50.0,5,,,0,65.0,50.0,4
Male,291.9871134020619,50.0,388,398.929,150.0,1000,72.45150501672241,40.0,299,110.0,110.0,2,,,0,262.6666666666667,85.0,6
0-18,96.66666666666667,50.0,3,239.375,160.0,8,5.0,5.0,1,,,0,,,0,,,0
18-59,195.42767295597486,50.0,477,313.1518796992481,140.0,1330,56.01587301587302,25.0,378,105.0,100.0,4,,,0,166.375,50.0,8
60+,275.0153256704981,40.0,261,362.28681424446586,150.0,1039,74.14067278287462,40.0,327,76.66666666666667,20.0,3,,,0,252.5,252.5,2
No formal education,136.30107526881721,50.0,186,350.3471760797342,132.5,602,67.0,40.0,175,20.0,20.0,1,,,0,233.33333333333334,150.0,3
Not stated,146.66666666666666,150.0,3,213.0,100.0,15,140.0,150.0,4,,,0,,,0,,,0
Primary,256.2919708029197,40.0,274,297.6858908341916,150.0,971,49.416666666666664,25.0,288,115.0,125.0,4,,,0,525.0,525.0,2
Secondary,271.5062761506276,50.0,239,341.21153846153845,150.0,676,74.78817733990148,25.0,203,20.0,20.0,1,,,0,10.333333333333334,10.0,3
Tertiary,124.63333333333334,50.0,30,615.1685393258427,250.0,89,112.75862068965517,50.0,29,150.0,150.0,1,,,0,27.5,27.5,2
1,130.3793103448276,60.0,87,176.6258064516129,100.0,155,39.638888888888886,25.0,36,,,0,,,0,80.0,80.0,2
2,109.37647058823529,50.0,85,257.5325203252033,120.0,246,48.436619718309856,20.0,71,,,0,,,0,183.66666666666666,50.0,3
3,103.6,50.0,95,241.09235668789808,100.0,314,43.2,25.0,90,,,0,,,0,,,0
4,135.12328767123287,50.0,73,390.3320754716981,160.0,265,63.932432432432435,50.0,74,35.0,35.0,2,,,0,,,0
5,290.69879518072287,50.0,83,302.07073954983923,150.0,311,59.364583333333336,40.0,96,105.0,105.0,2,,,0,,,0
6,145.8421052631579,50.0,95,313.3856655290102,150.0,293,49.851851851851855,25.0,81,110.0,110.0,2,,,0,20.0,20.0,1
7,407.26666666666665,25.0,75,343.4638783269962,160.0,263,40.86486486486486,20.0,74,,,0,,,0,,,0
8,150.82258064516128,47.5,62,459.83529411764704,200.0,255,111.03260869565217,50.0,92,150.0,150.0,1,,,0,150.0,150.0,1
9,839.6153846153846,50.0,52,469.4035087719298,200.0,171,123.80701754385964,40.0,57,,,0,,,0,452.5,452.5,2
10,100.08823529411765,20.0,34,493.5480769230769,150.0,104,54.42857142857143,30.0,35,,,0,,,0,50.0,50.0,1
Afrikaans,57.333333333333336,20.0,3,,,0,,,0,,,0,,,0,,,0
English,,,0,,,0,,,0,,,0,,,0,,,0
German,50.0,50.0,1,,,0,,,0,,,0,,,0,,,0
Khoisan,12.2,6.0,5,35.142857142857146,25.0,7,50.0,50.0,1,,,0,,,0,,,0
Nama/Damara,67.91666666666667,16.0,12,,,0,,,0,50.0,50.0,1,,,0,150.0,150.0,1
Oshiwambo,155.19354838709677,10.0,279,356.7836861125452,150.0,1937,64.06280193236715,25.0,621,100.0,85.0,6,,,0,318.3333333333333,50.0,3
Other,109.33333333333333,25.0,3,377.0,250.0,4,22.5,22.5,2,,,0,,,0,,,0
Other African,24.666666666666668,20.0,3,73.33333333333333,100.0,3,,,0,,,0,,,0,,,0
Other European,,,0,,,0,,,0,,,0,,,0,,,0
Otjiherero,222.71428571428572,50.0,35,303.3333333333333,125.0,18,34.166666666666664,27.5,6,,,0,,,0,233.33333333333334,150.0,3
Rukavango,160.41417910447763,100.0,268,241.2956298200514,100.0,389,65.68181818181819,50.0,66,,,0,,,0,1.0,1.0,1
Setswana,,,0,,,0,,,0,,,0,,,0,,,0
Zambezi languages,528.0530303030303,100.0,132,128.1578947368421,100.0,19,100.5,75.0,10,,,0,,,0,15.0,15.0,2
