index,crops_consumed_1_avg,crops_consumed_2_avg,crops_consumed_3_avg,crops_consumed_4_avg,crops_consumed_5_avg,crops_consumed_6_avg
,mean,mean,mean,mean,mean,mean
Rural,0.8220149823077908,0.7365004805441364,0.7540891636586081,0.7595238095238095,,0.8296296296296295
Semi-Urban,0.8554036087369421,0.7262275897754483,0.8790849673202614,,,
Urban,0.6770833333333336,0.6900678164428162,0.5717391304347826,,,0.6
!Karas,0.7333333333333334,0.5,,,,
Erongo,0.5,0.5439999999999999,1.0,,,
Hardap,0.5833333333333334,0.6666666666666666,0.0,,,
Kavango East,0.8070991822991823,0.8321161462214093,0.8333333333333333,,,1.0
Kavango West,0.8602530032028244,0.860932477416592,0.8253322700691123,,,
Khomas,0.7884615384615384,0.6377314814814814,0.7222222222222222,,,0.6
Kunene,0.6091145833333333,0.45833333333333337,0.5,1.0,,0.6933333333333334
Ohangwena,0.883063295493636,0.744616110073485,0.8592093527013251,,,
Omaheke,0.7306372549019609,,,,,
Omusati,0.7888715458778252,0.6956770443142669,0.6479593170232439,,,
Oshana,0.8152777777777779,0.674658584964149,0.697187134502924,,,1.0
Oshikoto,0.7948340548340548,0.7105737656569548,0.7582973286875726,0.7194444444444444,,
Otjozondjupa,0.6578125,0.5,0.3833333333333333,,,
Zambezi,0.7819153648244924,0.8458333333333333,0.8194444444444443,,,1.0
Female,0.8172598569199135,0.7475167240443258,0.7614552474552473,0.8133333333333332,,0.9166666666666666
Male,0.8077466313617548,0.7170313546537392,0.7371422800227151,0.625,,0.7333333333333334
0-18,0.8666666666666667,0.8824404761904762,1.0,,,
18-59,0.8115202814776569,0.72794474490305,0.7265756646841302,0.8166666666666667,,0.8333333333333333
60+,0.813039265119725,0.7421904226488889,0.7788141473714867,0.6833333333333332,,0.7
No formal education,0.845385146995449,0.7664200928248398,0.8162008692365839,0.5,,0.8222222222222223
Not stated,0.7663398692810457,0.7202339181286549,1.0,,,
Primary,0.8273722439361124,0.751945158230559,0.7547677669552668,0.8875,,0.5
Secondary,0.769906990266104,0.69648053912193,0.7103098116989743,0.6,,1.0
Tertiary,0.8033333333333333,0.597641307844802,0.5919540229885056,0.6666666666666666,,0.8
1,0.8925971538040504,0.8619163453034419,0.8789351851851852,,,0.8333333333333333
2,0.8501229197561377,0.7736467302930718,0.7052816901408451,,,0.9333333333333332
3,0.8395799498746866,0.7767738971303038,0.7655544973544974,,,
4,0.8138950167032358,0.7784693217814025,0.8087516087516087,0.75,,
5,0.8495960351169423,0.7259894180509106,0.7699779040404042,0.775,,
6,0.7685895684095523,0.730986334491079,0.7705144032921811,0.8,,1.0
7,0.6950353169247906,0.6838783297130668,0.7635885885885887,,,
8,0.8210394265232975,0.6848941366033134,0.7234601449275363,0.6666666666666666,,0.3333333333333333
9,0.7798336663336662,0.6617483272065696,0.6527748348143085,,,0.6333333333333333
10,0.7556372549019609,0.621324096127278,0.6643439153439152,,,1.0
Afrikaans,0.3055555555555555,,,,,
English,,,,,,
German,1.0,,,,,
Khoisan,0.8466666666666667,0.9047619047619049,1.0,,,
Nama/Damara,0.6520833333333333,,,1.0,,0.3333333333333333
Oshiwambo,0.8184065888307043,0.7071539350157301,0.7424700290614139,0.7194444444444444,,0.7555555555555555
Other,0.8222222222222223,0.5970833333333333,0.75,,,
Other African,0.5833333333333334,0.4666666666666666,,,,
Other European,,,,,,
Otjiherero,0.7166666666666667,0.8410185185185185,0.6666666666666666,,,0.8222222222222223
Rukavango,0.8472486463811691,0.8638681530521978,0.8319788797061524,,,1.0
Setswana,,,,,,
Zambezi languages,0.7820102041452309,0.8052631578947368,0.7833333333333333,,,1.0
