index,crops_given_away_1_avg,crops_given_away_2_avg,crops_given_away_3_avg,crops_given_away_4_avg,crops_given_away_5_avg,crops_given_away_6_avg
,mean,mean,mean,mean,mean,mean
Rural,0.045017649628161446,0.02748505489696557,0.024896999271999266,0.047619047619047616,,0.0962962962962963
Semi-Urban,0.010313390313390314,0.03398605998873378,0.032679738562091505,,,
Urban,0.07040816326530612,0.032044159544159546,0.043478260869565216,,,0.4
!Karas,0.26666666666666666,0.0,,,,
Erongo,0.0,0.053500000000000006,0.0,,,
Hardap,0.08333333333333333,0.0,0.0,,,
Kavango East,0.08458335738335739,0.056762160656897494,0.0625,,,0.0
Kavango West,0.05401095260772678,0.05053801521198713,0.03652312599681021,,,
Khomas,0.02692307692307692,0.003703703703703704,0.0,,,0.4
Kunene,0.05,0.041666666666666664,0.0,0.0,,0.17333333333333334
Ohangwena,0.012690058479532163,0.01728071814375325,0.007693042813455657,,,
Omaheke,0.0570343137254902,,,,,
Omusati,0.009154929577464789,0.023513875546029604,0.03064307458143075,,,
Oshana,0.020370370370370372,0.014060717957776784,0.023163742690058484,,,0.0
Oshikoto,0.04064454064454064,0.03412179100226983,0.04227642276422764,0.05555555555555555,,
Otjozondjupa,0.11187500000000002,0.5,0.0,,,
Zambezi,0.05194504832557571,0.036111111111111115,0.125,,,0.0
Female,0.04063376582498393,0.021556778977557107,0.02070775320775321,0.06666666666666667,,0.08333333333333333
Male,0.05025570309389071,0.036432967336528746,0.03247124252559035,0.0,,0.15555555555555556
0-18,0.0,0.00625,0.0,,,
18-59,0.04826096838616083,0.028450502189275608,0.03183167655389878,0.08333333333333333,,0.08333333333333333
60+,0.04146532649980926,0.027167934626456575,0.0186684505606524,0.0,,0.30000000000000004
No formal education,0.03943805717348902,0.025590391921758066,0.01210714285714286,0.0,,0.17777777777777778
Not stated,0.23366013071895428,0.0,0.0,,,
Primary,0.0469005426852142,0.028315670796556138,0.023098958333333336,0.0,,0.16666666666666666
Secondary,0.04284124580672698,0.0274928730204242,0.03850102005274419,0.0,,0.0
Tertiary,0.07722222222222223,0.040074793191941516,0.05344827586206897,0.3333333333333333,,0.2
1,0.026728699142492242,0.010794395568589119,0.0,,,0.16666666666666666
2,0.033070357554786614,0.018777300819983748,0.01091549295774648,,,0.06666666666666667
3,0.042844110275689226,0.025638245335697567,0.0077777777777777776,,,
4,0.04287127636442705,0.02664511994356611,0.025506756756756756,0.0,,
5,0.027747767627285706,0.028025867085640425,0.04069444444444444,0.0,,
6,0.05225122189638318,0.022312625332474443,0.020061728395061727,0.0,,0.0
7,0.05501129426129426,0.03609342233862526,0.05056306306306306,,,
8,0.06218189964157707,0.04371100298190784,0.025543478260869567,0.3333333333333333,,0.0
9,0.07564818514818514,0.030157744403358444,0.02009768740031898,,,0.3666666666666667
10,0.06838235294117648,0.035225431142837334,0.0573015873015873,,,0.0
Afrikaans,0.13888888888888887,,,,,
English,,,,,,
German,0.0,,,,,
Khoisan,0.07333333333333333,0.0,0.0,,,
Nama/Damara,0.12152777777777778,,,0.0,,0.0
Oshiwambo,0.02140798667680388,0.02280910295617536,0.02155953658972983,0.05555555555555555,,0.24444444444444446
Other,0.0,0.016666666666666666,0.0,,,
Other African,0.08333333333333333,0.03333333333333333,,,,
Other European,,,,,,
Otjiherero,0.02913095238095238,0.009259259259259259,0.1111111111111111,,,0.17777777777777778
Rukavango,0.0629421213182046,0.053304420469185695,0.03911845730027549,,,0.0
Setswana,,,,,,
Zambezi languages,0.05674519197380161,0.0456140350877193,0.15,,,0.0
