index,crops_sold_1_avg,crops_sold_2_avg,crops_sold_3_avg,crops_sold_4_avg,crops_sold_5_avg,crops_sold_6_avg
,mean,mean,mean,mean,mean,mean
Rural,0.03452111215593294,0.006460140698751082,0.008568628151961485,0.0,,0.07407407407407407
Semi-Urban,0.02564102564102564,0.008495670995670996,0.0,,,
Urban,0.11547619047619048,0.024903337403337406,0.008695652173913044,,,0.0
!Karas,0.0,0.0,,,,
Erongo,0.0,0.0,0.0,,,
Hardap,0.08333333333333333,0.0,0.0,,,
Kavango East,0.024444444444444442,0.030784355784355785,0.0,,,0.0
Kavango West,0.016413486572216734,0.00801173428647477,0.032163742690058485,,,
Khomas,0.11538461538461539,0.07407407407407407,0.0,,,0.0
Kunene,0.051041666666666666,0.0,0.0,0.0,,0.13333333333333333
Ohangwena,0.0,0.0048303571944617145,0.008632772680937819,,,
Omaheke,0.06764705882352941,,,,,
Omusati,0.027563261798643126,0.002865690002236636,0.0,,,
Oshana,0.013888888888888888,0.0037867177522349933,0.012280701754385963,,,0.0
Oshikoto,0.021717171717171718,0.005030141843971631,0.010017421602787456,0.0,,
Otjozondjupa,0.05,0.0,0.06666666666666667,,,
Zambezi,0.11503363533018705,0.10416666666666667,0.0002777777777777778,,,0.0
Female,0.042657358379737984,0.005742967594819447,0.010182910182910182,0.0,,0.0
Male,0.03818509961219258,0.009020602405419393,0.005893852524287307,0.0,,0.1111111111111111
0-18,0.0,0.0,0.0,,,
18-59,0.04502437748918268,0.008277134064520178,0.014689258419417149,0.0,,0.08333333333333333
60+,0.032173326035395,0.005697863789869043,0.001083078491335372,0.0,,0.0
No formal education,0.037900665642601125,0.008208307703739598,0.005071428571428571,0.0,,0.0
Not stated,0.0,0.0,0.0,,,
Primary,0.024080640770421793,0.002829803509611396,0.007204034391534391,0.0,,0.3333333333333333
Secondary,0.06789224592869812,0.010047900817131588,0.014504652435686917,0.0,,0.0
Tertiary,0.0,0.027496038040684442,0.0,0.0,,0.0
1,0.028160919540229888,0.0018709677419354838,0.0,,,0.0
2,0.03680672268907562,0.005003871467286101,0.0,,,0.0
3,0.02137844611528822,0.005423617429986857,0.006349206349206349,,,
4,0.05025944375259443,0.0068000940457297356,0.018018018018018018,0.0,,
5,0.04532224606639914,0.01053916430122218,0.019097222222222224,0.0,,
6,0.052694235588972425,0.004141611138198169,4.11522633744856e-05,0.0,,0.0
7,0.07624315489578647,0.011990021553038775,0.006006006006006006,,,
8,0.016801075268817203,0.008997821350762526,0.010326086956521738,0.0,,0.6666666666666666
9,0.03175258075258076,0.004551267056530214,0.013523391812865496,,,0.0
10,0.04166666666666667,0.01139823717948718,0.0,,,0.0
Afrikaans,0.05555555555555555,,,,,
English,,,,,,
German,0.0,,,,,
Khoisan,0.08,0.023809523809523808,0.0,,,
Nama/Damara,0.06805555555555555,,,0.0,,0.6666666666666666
Oshiwambo,0.015502413641166595,0.0044895271464280165,0.006554009150627509,0.0,,0.0
Other,0.0,0.0,0.0,,,
Other African,0.0,0.0,,,,
Other European,,,,,,
Otjiherero,0.07285714285714286,0.0,0.0,,,0.0
Rukavango,0.02888595028520402,0.014307938391228877,0.02777777777777778,,,0.0
Setswana,,,,,,
Zambezi languages,0.10510549046912686,0.13157894736842105,0.0003333333333333334,,,0.0
