index,crops_sales_value_1_avg,crops_sales_value_2_avg,crops_sales_value_3_avg,crops_sales_value_4_avg,crops_sales_value_5_avg,crops_sales_value_6_avg
,mean,mean,mean,mean,mean,mean
Rural,33.23205197525404,27.22407713498622,41.76969696969697,,,5.0
Semi-Urban,17.5,46.833333333333336,,,,
Urban,50.62916666666667,102.85714285714286,15.0,,,
!Karas,,,,,,
Erongo,,,,,,
Hardap,600.0,,,,,
Kavango East,4.0,58.5,,,,
Kavango West,29.041666666666668,48.84615384615385,8.0,,,
Khomas,4.041666666666666,1.0,,,,
Kunene,9.333333333333334,,,,,5.0
Ohangwena,,23.904761904761905,29.0,,,
Omaheke,27.416666666666668,,,,,
Omusati,55.10718954248366,7.124999999999999,,,,
Oshana,2.0,58.61,5.4,,,
Oshikoto,40.095238095238095,27.53909090909091,8.333333333333334,,,
Otjozondjupa,4.875,,15.0,,,
Zambezi,25.951989332305125,5.155555555555556,300.0,,,
Female,18.454016618015626,18.19702380952381,24.0,,,
Male,49.23073719070962,49.9542588042588,55.07777777777778,,,5.0
0-18,,,,,,
18-59,41.35649142464004,37.063178294573646,46.28,,,5.0
60+,21.31986607142857,34.73216253443526,5.833333333333334,,,
No formal education,26.526785714285715,41.25,7.666666666666667,,,
Not stated,,,,,,
Primary,19.753978696741857,21.243750000000002,81.2,,,5.0
Secondary,49.97390171871219,42.25075757575757,29.75,,,
Tertiary,,37.62965367965368,,,,
1,17.0,78.0,,,,
2,8.11111111111111,8.16,,,,
3,4.733333333333333,55.0,10.0,,,
4,39.083333333333336,26.950000000000003,52.0,,,
5,9.610539682539683,52.74074074074074,8.0,,,
6,3.971491228070175,11.785714285714286,300.0,,,
7,62.4228711484594,72.74444444444444,7.0,,,
8,7.666666666666667,12.56875,8.822222222222223,,,5.0
9,69.89285714285714,41.88333333333333,5.5,,,
10,210.69444444444446,6.1893939393939394,,,,
Afrikaans,600.0,,,,,
English,,,,,,
German,,,,,,
Khoisan,55.0,2.0,,,,
Nama/Damara,9.333333333333334,,,,,5.0
Oshiwambo,36.075910364145656,26.301599326599327,17.607407407407408,,,
Other,,,,,,
Other African,,,,,,
Other European,,,,,,
Otjiherero,9.802083333333334,,,,,
Rukavango,19.677285318559555,55.74,8.0,,,
Setswana,,,,,,
Zambezi languages,30.062877344877347,5.155555555555556,300.0,,,
