index,q02_58_01,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15
,group_wa,count,group_wa,group_wa,group_wa,group_wa
Rural,0.5268117669891996,5535,0.8475534624143112,0.3539773972954881,0.7830035759990259,0.3307902998481261
Urban,0.8432516735597724,4555,0.7959437038728907,0.6575446304743429,0.8609547726048482,0.6976139916580146
!Karas,0.8791892694608114,559,0.7302045555510897,0.6753627963740729,0.8261311678576445,0.7170567832115166
Erongo,0.866358355965671,828,0.7393865050080244,0.687940835428704,0.9038550748074317,0.7535685330435565
Hardap,0.8950036696553728,561,0.8771638602181168,0.6808622923610261,0.7409365842205476,0.6955129679175879
Kavango East,0.4847769229218029,554,0.863018934781779,0.250294109134327,0.6419278399283636,0.2639637390863694
Kavango West,0.41103103485357817,568,0.8714712362513958,0.1735524944428496,0.6841191790044743,0.1755105068487606
Khomas,0.8343726431140723,1084,0.8022022958481938,0.644988266168337,0.8413605007987451,0.7139145033086459
Kunene,0.6226725065582703,570,0.9240325795593705,0.4642069601991406,0.8025473355132852,0.4996396410572301
Ohangwena,0.5382782273279251,854,0.8173120198057617,0.3768354411759879,0.767388276106371,0.24961126800710898
Omaheke,0.592671112646327,557,0.8717050339382109,0.44347742106161314,0.7487207032237624,0.5154367699669443
Omusati,0.5577572889842213,854,0.740257103930344,0.3553540850598103,0.8657006220169589,0.23658713511657292
Oshana,0.747922048707228,846,0.8138993469179915,0.5565962311366028,0.8863061407518648,0.6952336159136939
Oshikoto,0.5141836465471596,852,0.9117540192094143,0.4163070902136328,0.8301193259607489,0.3501099841554124
Otjozondjupa,0.6926745316697074,837,0.8190167359957852,0.5767342887263066,0.8327696742468025,0.7112141369174462
Zambezi,0.7208654429447264,566,0.9666124536934632,0.4698890514953041,0.8885153871066152,0.21450329669843266
Female,0.701384387575122,4616,0.8368386246963172,0.5188234633833065,0.8378469486281815,0.5020896141048278
Male,0.6955234529068227,5474,0.8060679796890641,0.5178910251343113,0.8152495874077753,0.5508061994550854
0-18,0.4006856407660108,37,0.8048467875720258,0.3584112478146113,0.6220185981509436,0.1906075657575821
18-59,0.715799467775024,7809,0.8204548897924795,0.5432294054050659,0.8286448792044026,0.5696761993248074
60+,0.6281435414999296,2244,0.8163170194038548,0.41404880762372953,0.8147722438733511,0.36249110362145337
No formal education,0.4608178095335736,1905,0.8513143180147976,0.2730676032477088,0.7235743016231725,0.2673322621486941
Not stated,0.5476828667243027,55,0.8980392105202872,0.47084999098999747,0.8529508993854231,0.4529103085784484
Primary,0.5858551674989079,2725,0.8555207742316248,0.39883783917142995,0.7951244664327667,0.4092040268142387
Secondary,0.7857376532288074,4170,0.8100247311432164,0.5957407549787943,0.8642527371048836,0.6187386419943824
Tertiary,0.8932321589433216,946,0.7496383003323717,0.7577533109868537,0.8692461702689308,0.7688459105396228
1,0.35969935745021375,675,0.9028757000000364,0.20037376994664194,0.6460594318732709,0.20559294206119835
2,0.49130671655640085,765,0.8702308996590034,0.3005799727262647,0.7726734868424558,0.29578853005232775
3,0.5642368249359451,839,0.8632773000774725,0.3422517169248763,0.7996759775335471,0.34473406954513
4,0.586414288141644,854,0.8674997673147419,0.4024423819501637,0.8001156410759503,0.3884712320121688
5,0.6359839484203145,950,0.8668549204494715,0.44325948490654266,0.8287271277028684,0.43352258456029447
6,0.6982746471493478,1008,0.8438161329141722,0.4701795716355193,0.8205168408667113,0.47899930348200626
7,0.7152389482833726,1101,0.8079433937824995,0.5706778782027205,0.8487746601378994,0.5545530362570688
8,0.7742050277435271,1197,0.817848828468697,0.5860108776918956,0.8529084182275132,0.6069916128358084
9,0.8292591388565789,1283,0.8050509262244653,0.6791565586680969,0.881932505882651,0.7184147828045007
10,0.8693057873041866,1418,0.7088057745104079,0.7018473326259059,0.8505575028864599,0.7360814967404994
Afrikaans,0.9282384228382774,715,0.722434345020504,0.7506408783302935,0.8721892037127276,0.8318432006716155
English,0.887446529673976,111,0.691192456409553,0.7272277710804954,0.9374720564570157,0.8722781622262364
German,0.8231592568348894,33,0.6782667797594556,0.6794107546352864,0.8421536465450542,0.7052018687786971
Khoisan,0.2649068617163008,146,0.9465203676740533,0.18268111434327886,0.6055713386580951,0.29159527893658865
Nama/Damara,0.8140861146221802,1292,0.8575004112239359,0.6368337107975031,0.7876737068780226,0.6784818766580307
Oshiwambo,0.6680920616260778,4610,0.8134845305042103,0.48871035501368776,0.8485272177722222,0.4773218943418941
Other,0.803115914476528,165,0.5337526007302171,0.700589301543984,0.7205470045834775,0.6567320072701016
Other African,0.7898348914412433,108,0.7986483260978042,0.6275964145497742,0.8520969256524179,0.5985052192867737
Other European,0.9655171857835527,35,0.6255066202659061,0.6999580452068485,0.891319320325971,0.738865309776755
Otjiherero,0.6648464897852212,1000,0.8589660203654235,0.5029527238582747,0.8159905245926722,0.6039141838349832
Rukavango,0.5065410984708534,1272,0.8733511652591416,0.28288699273198437,0.7110130962658207,0.32992937928690563
Setswana,0.7865329361585562,31,0.841953457097536,0.6169918306130562,0.598967051642916,0.5156359553725667
Zambezi languages,0.7547804355057768,572,0.9479569911542028,0.549468575777444,0.8967034640967204,0.32577592136700045
