index,q02_59_01,q02_59_01,q02_59_02,q02_59_02,q02_59_04,q02_59_04,q02_59_13,q02_59_13,q02_59_15,q02_59_15
,group_wa1,count,group_wa1,count,group_wa1,count,group_wa1,count,group_wa1,count
Rural,3.900805660242699,2863,6.385377552214885,4773,2.829401585322656,1901,6.513879412861685,4242,5.388063620403238,1817
Urban,5.39811583188643,3846,5.284292692103287,3654,2.8860686329750793,3007,6.552232594609633,3915,5.8425949277381415,3139
!Karas,5.679560921378662,484,5.7358645363624525,423,2.7202566137725075,365,6.568450227245035,457,5.8369225449948825,390
Erongo,5.269388443028008,705,5.244611837396873,604,2.8232799129252197,560,6.563211601890812,742,5.946786248797938,625
Hardap,4.8862517363919515,506,5.182965851312138,493,2.4275112871797395,376,6.403882014236193,423,5.4225068252551205,393
Kavango East,4.244879467562947,275,6.1511381090977935,475,3.086813948067975,158,6.262633583545376,363,5.32518408801131,166
Kavango West,3.083592409440042,222,6.437473574624573,505,2.015614527905247,90,6.150736086501249,379,4.507559880733584,96
Khomas,5.536102259609992,921,5.0688026831481725,862,2.859612523877258,715,6.544247985830415,912,5.907815103745625,781
Kunene,3.9146668219458887,346,6.120722217784017,531,2.565768964472518,258,6.11005240070984,455,4.819969120823092,277
Ohangwena,3.9810103398567094,441,6.231431592638433,700,3.2286892361066415,305,6.797544914488234,645,5.008706979381895,192
Omaheke,4.463393832562811,319,5.980378048259933,484,2.5709726424621153,236,6.211865750371271,413,4.451762885876974,290
Omusati,4.033788208114406,476,6.327859686166957,645,2.6220704427125816,291,6.602606852442282,731,5.413877022710091,191
Oshana,5.155863158327475,622,6.0611525871110405,698,3.335946300264131,484,6.768598477179996,746,6.340262399493385,587
Oshikoto,4.630233010987959,429,6.3146722525529375,774,3.1040078796114914,344,6.673231418504236,696,5.8591629233334706,266
Otjozondjupa,4.6543482580147035,572,5.730080297143398,684,2.748735499504265,481,6.270578911117326,699,5.706811771512451,598
