index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment
Rural,0.0009529857690855268,0.008677448348381387,0.0006285779064868492,0.842921207337974,0.0008892432770720648,0.0019116336288238286,0.019363176514267437,0.06653014186261612,6.971158258794769e-05,0.05538316766277614,0.002672706109928701,0.005376633015659586,0.0194496809001326,0.0029376571712788875,0.49750627619630017,0.0025925434135387615,0.1089787272324132,0.029016240731348942,0.04021860501600833,0.0006591144586069771,0.28809792302674087,0.005166598837971558,0.0005940627345656688,0.01314589840349009,0.0,0.8832903483696787,0.00042938381706557035,0.01089380481175807,0.02157107687992548,0.06720974741016056,0.001562405984818951,0.0,0.0013032715885368438,0.003964972239609811,0.01840302559206043,0.002689399118673955,0.8842887288951597,0.0015229564829817859,0.000675520108792921,0.02529143000854771,0.04598194537907933,0.00015083709906235402,0.015408664191113757,0.0016225208849184574,0.00032325769192047775,0.017984951589930156,0.9236389053121216,0.0,0.0009507604483776754,0.02051011424027124,0.03358204196909641,0.0,0.000992965151893758,0.002017003596388852
Urban,0.00037372722156933837,0.004510337061453904,0.00033462245358274696,0.9571317251681085,0.0,0.00016222111058482243,0.010658670635956337,0.009691293086989902,0.001955505004550746,0.013358566328353466,0.0018233319288502782,0.002089244062861867,0.004658229530544691,0.00035451118291575845,0.903186140332385,0.00047264680193251216,0.018493691140389817,0.0036285392521705965,0.04184527159717712,0.0016194241391937888,0.022378307843440113,0.0012739941169887744,0.0013434257234968795,0.0037134502385087484,0.00042912820045503953,0.9772776954851454,0.000384491470283547,0.0007629970254384429,0.005625444995324178,0.009618929760074581,0.00032280606856669266,0.0004012567986955296,0.00012037423401098702,0.0018271292590533793,0.004218199719979885,0.0,0.9763604512233093,0.0,0.0006204665105896506,0.005014270368687514,0.007993619386569221,0.0008559770192406611,0.002540967108671795,0.0005689194038986677,0.000916272722886775,0.0048829960618525315,0.9844516702117883,0.000706886126935951,0.000789986920976643,0.0045743077469682794,0.00282447019526016,0.0001512826450859373,0.0,0.000702127368245476
!Karas,0.0,0.013672395336971722,0.0,0.9021368073499837,0.0,0.0030550085760800453,0.009920567508307252,0.0,0.0034739180234892334,0.0640204729680313,0.0037208302371365223,0.0073932551899823515,0.028507175387094016,0.0,0.9285375212521675,0.0,0.0229051659834206,0.0,0.0014625122440591882,0.002545041475926727,0.00864932846734951,0.0,0.0,0.02495243395149829,0.0,0.9691091603342323,0.0,0.0,0.0,0.0055200692602054196,0.0,0.0,0.0004183364540639312,0.00916750324403394,0.017184997052610042,0.0,0.9387936212621873,0.0,0.002348725851392782,0.013904386533899997,0.0044938565698875105,0.0,0.013764919147850578,0.000341990338137823,0.004935083486746007,0.016192192307280986,0.9784787123451878,0.0,0.0,0.0,0.0,0.0,0.0,0.00039401186078521545
Erongo,0.0012553536370076416,0.008946406718364469,0.0,0.9627554275408767,0.0,0.0,0.010323753997457018,0.010549275727822036,0.0,0.00297844375021637,0.0031913386282557813,0.0,0.00450000266293835,0.0,0.9597476187724847,0.0,0.022769148290706268,0.007152089919309312,0.003226101098497681,0.0012239033689296886,0.0013811358871338917,0.0,0.0,0.0043538647504127136,0.0,0.9832608432248745,0.0,0.0006009684276644134,0.008650894792086956,0.0019882477593559746,0.0007824568077371877,0.0,0.0003627242378679992,0.0,0.004927100076300688,0.0,0.9865700597483096,0.0,0.0003519853239355749,0.006637562662546568,0.0015132921889076188,0.0,0.0,0.0,0.0,0.003333323138232221,0.9871460359767461,0.0024147463689601378,0.0,0.00529080170813053,0.0018150928079311652,0.0,0.0,0.0
Hardap,0.001221341664522883,0.008500476081759216,0.0,0.7857588520582593,0.0,0.0015439352760870113,0.032590362736061945,0.023246391456558345,0.002097412839539358,0.14192198797411273,0.003119239913099156,0.0,0.00675128160817088,0.0,0.818726280699583,0.0018771531007376093,0.12027466489807208,0.0215629410860755,0.021099583060451257,0.0,0.0042134046474847624,0.005494690899424907,0.0011852086941869775,0.001118994909359714,0.0,0.9213430885150642,0.0,0.0025419412836748022,0.021555828486710053,0.047759614127848744,0.0,0.0,0.004495323983155411,0.004201164646275352,0.009317825134784338,0.0,0.9357090335755177,0.0,0.0,0.010471365690614895,0.01354548366772928,0.0,0.026755127285078437,0.0,0.0,0.004298484697150153,0.9746390325622928,0.0,0.0,0.0015678382272552728,0.010502272693500465,0.0,0.00459173986431011,0.004400631955491243
Kavango East,0.0,0.0,0.0,0.9655155325847987,0.0,0.0,0.0,0.02642098302798174,0.0,0.008063484387219504,0.0,0.004695617242159654,0.032524703393018814,0.013942153316335568,0.7572776810558364,0.0007314464781786992,0.058802132846000506,0.001217006601158462,0.09135536351504013,0.0011351148052634967,0.02966742918018939,0.008651351566818961,0.005859719602963887,0.0,0.0,0.9099886379216723,0.0,0.061101646204202116,0.0,0.023049996271161513,0.0,0.0,0.0,0.019533264959417374,0.017734661674023385,0.0,0.9300582145227902,0.0,0.002329961676832748,0.0052013629414588555,0.025142534225477242,0.0,0.0,0.0,0.0,0.0,0.9868431682335393,0.0,0.0,0.0,0.013156831766460599,0.0,0.0,0.0
Kavango West,0.0,0.0073142551725211054,0.0,0.8390934197722806,0.0,0.0,0.00738535904369344,0.13533805803321466,0.0,0.010868907978290343,0.0,0.011126619304397728,0.029811768146558965,0.01188606799411717,0.6089867323728337,0.0,0.08862446319811446,0.005101861956002805,0.06293521052812422,0.01103107985243831,0.14177375353993263,0.02872244310747997,0.0,0.0,0.0,0.8557925043221893,0.0,0.005971210412487795,0.011519818916936021,0.07187845334521288,0.054838013003173876,0.0,0.0,0.006501537667946473,0.017516909401136156,0.0041057548949078385,0.8613456327370925,0.027131597726242986,0.0,0.009313243437175827,0.052079013486922315,0.002970867588611761,0.014805148684135372,0.0042302943758288055,0.0,0.0,0.9747065189225378,0.0,0.0,0.0,0.02529348107746228,0.0,0.0,0.0
Khomas,0.0,0.004606019237188258,0.0,0.9435187819827027,0.0,0.0,0.01739638155025918,0.013467357285985797,0.0030464500004290396,0.015503375975053154,0.0024616339683819,0.0016515192232256725,0.00812275933318507,0.0,0.9214115797166818,0.0,0.0167026578823287,0.012248764938754252,0.03522810831987849,0.0,0.002247140985321245,0.002387469600624991,0.002050916634995234,0.003673456169341061,0.0,0.9745455734071085,0.0010290279938532485,0.0,0.011133678789670238,0.007567347005031622,0.0,0.0,0.0,0.0,0.005915537177255744,0.0,0.9648532832540874,0.0,0.0011361823534479134,0.01338924372431587,0.009917238783603404,0.0015722358765422912,0.0017805545175212914,0.0014357243132259523,0.0,0.006077200379353168,0.974520902622464,0.0,0.0020265435303114068,0.014102565948675929,0.0015807617631890761,0.0,0.0,0.0016920257560063673
Kunene,0.005788882958646035,0.03161857237667684,0.0,0.8016481186832831,0.0,0.002456651598439209,0.030806416877771123,0.056880464955062604,0.0004949131571945202,0.0648556871845423,0.005450292208384278,0.017087075547239917,0.03713393873935272,0.00394090687428833,0.6195573501465051,0.0,0.21715881132111625,0.025549860440684826,0.05028144730084649,0.0,0.024396860646388116,0.004893748983578253,0.0004817367596783179,0.04092138936172562,0.0,0.9108826818730682,0.0,0.0025646337417233422,0.009346368918980536,0.032858988249640474,0.0,0.0029442010951834,0.0,0.004736634544335025,0.05968820783110633,0.00229616051485092,0.879708617462831,0.0,0.0,0.02068282704384086,0.029573326591082687,0.0,0.0033142260119531546,0.0,0.005081452200541406,0.018019979963584124,0.9523688374764179,0.0,0.0,0.0109631480328471,0.013566582326609435,0.0,0.0,0.0
Ohangwena,0.0,0.0,0.0,0.8987065796184103,0.0,0.0013945315742845377,0.0,0.0805386566019297,0.0,0.01936023220537529,0.0,0.0,0.0017621854115489886,0.0,0.5134731538483757,0.0,0.061582222933816204,0.0040963159749006365,0.05967033325501882,0.0024330497814664593,0.3516605607332709,0.005322178061602207,0.0031691822319422315,0.0,0.0,0.9099082784665136,0.002078200695762399,0.0026550511930695042,0.0,0.07974702869173061,0.0,0.0,0.002442258720981862,0.001535170173226954,0.003150037379339482,0.0032395342343049757,0.8871627881306423,0.0,0.0,0.0027114641384500078,0.0648990896193535,0.0,0.03401211641684344,0.003289799907839356,0.0,0.0,0.9366104683150117,0.0,0.0,0.0,0.059702480014865195,0.0,0.0,0.0036870516701228906
