index,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6
Rural,260.33934316719194,351.75902930414696,59.309798676682824,86.24326592939323,174.25500757354715
Urban,74.32264554465597,665.7921756512923,117.5545888341487,0.0,5.0
!Karas,24.789197387913088,600.0,0.0,0.0,0.0
Erongo,200.0,269.3362638967971,50.0,0.0,0.0
Hardap,78.34732728715996,261.4492578827014,2.0,0.0,0.0
Kavango East,149.13829223860532,201.47136434469695,87.49233521426378,0.0,1.0
Kavango West,127.1485917580768,228.82539829779557,62.200952413374694,0.0,0.0
Khomas,76.14139940544932,3313.641025743809,188.50087855637545,0.0,5.0
Kunene,204.95820628736726,262.2309608420609,50.0,50.0,342.860731255231
Ohangwena,23.242940506377067,375.1065911364539,29.856126532558996,0.0,0.0
Omaheke,404.60917446789716,0.0,0.0,0.0,0.0
Omusati,566.6810869177908,453.5490813883709,79.3121832022653,0.0,0.0
Oshana,54.954049017428524,293.7486072601983,70.45837061572924,0.0,50.0
Oshikoto,78.66173500734165,280.50394529566876,63.42375386797929,96.1145979364018,0.0
Otjozondjupa,74.40726975471794,20.0,40.911697291002376,0.0,0.0
Zambezi,505.4354704914002,99.6394153098232,78.45328540195868,0.0,13.641747545258024
Female,174.87667155618118,338.0126618340694,61.08555997928132,85.91766609522973,54.90593901384481
Male,292.7755906639048,415.91870760537876,65.71115445398155,87.05108456094348,204.78580365716468
0-18,92.54841465853002,203.9819973019453,5.0,0.0,0.0
18-59,219.24184637566162,360.69121752277994,57.64035028427418,101.4623282806963,164.72177692317487
60+,268.27421338984476,388.606211807822,70.54215860702185,64.19773496815844,76.91578380621303
No formal education,121.77581318375104,392.0180967868017,57.29344688463936,20.0,125.11243717751876
Not stated,147.32512507336057,206.2766087645486,155.6208599332449,0.0,0.0
Primary,242.5019558854356,315.2343449498335,49.43861504706746,102.00215513926855,571.6076909564033
Secondary,328.3744744189311,386.42179176093015,80.88817395130201,20.0,5.670070318900053
Tertiary,77.69997994692818,769.1995589328683,88.61249529144504,150.0,23.034910425695113
1,118.51412732371533,198.90164713531732,43.65034929524098,0.0,63.644999339254824
2,96.09791243562508,267.3964546559994,50.12228890744258,0.0,50.78266304674711
3,87.75072174498271,264.2929565421658,36.780574078776944,0.0,0.0
4,113.45325770303185,415.4834773164397,63.2977668353332,36.28571879636473,0.0
5,394.4612274283341,349.4582675643482,51.407036274469,99.11939763302269,0.0
6,125.05949089790653,348.7758552392748,48.604128041036525,117.19557983556024,20.0
7,547.8515706317306,403.62591901468625,46.770509790354616,0.0,0.0
8,125.14368823164595,581.4136192096986,117.75983537276525,150.0,150.0
9,710.8029118526773,459.405629218427,121.2397545028621,0.0,401.47193433011694
10,112.64779084692525,497.81886051263916,59.12244784223765,0.0,50.0
Afrikaans,29.361253862125807,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0
German,50.0,0.0,0.0,0.0,0.0
Khoisan,10.186719731366628,42.06119888403202,50.0,0.0,0.0
Nama/Damara,46.84918638272715,0.0,0.0,50.0,150.0
Oshiwambo,192.60841685651053,392.3415786331619,63.21919166678678,96.1145979364018,306.0731654909459
Other,91.95637290899344,574.4248762044842,22.006772609152335,0.0,0.0
Other African,25.814599763876103,73.54594769517078,0.0,0.0,0.0
Other European,0.0,0.0,0.0,0.0,0.0
Otjiherero,291.3980852589405,377.7229150502892,40.964456164849054,0.0,125.11243717751876
Rukavango,150.29029587162748,221.05150911415532,63.65672173546446,0.0,1.0
Setswana,0.0,0.0,0.0,0.0,0.0
Zambezi languages,514.3072929058333,109.53370385580588,87.41619334670403,0.0,13.641747545258024
