index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
Rural,0.27842090792958607,5535,0.32394734842637535,0.3976317436440386,0.23805411760778236,0.3125417814750095,0.44940410091720806,0.7830035759993618,0.727143086587686,0.109761019608035,0.43441998345452437,0.12706056956686743,71.97474225222932,116.75609411948993,14.488520318307243,0.43346250319129925,0.5074402230213957,0.05909727378730514
Urban,0.6103122866256936,4555,0.28017173078375296,0.10951598259055326,0.59213070896595,0.28501574164656646,0.12285354938748352,0.8609547726049193,0.8490851230526901,0.013942416212780537,0.024145900804615403,0.006686696856600682,13.655734583701443,196.30165199545664,27.374387570372924,0.6784607332826428,0.28227391087002335,0.03926535584733372
!Karas,0.6310562814689045,559,0.2924395028953608,0.07650421563573467,0.5986763783743458,0.2905770724694266,0.11074654915622753,0.8261311678576266,0.8031909351115822,0.002507705548713909,0.0005227906909893654,0.0,0.0,300.0,0.0,0.6321546209543031,0.34508458310831297,0.022760795937383935
Erongo,0.6418093450904481,828,0.2706805012164059,0.08751015369314596,0.6311651250491824,0.27424104586173187,0.09459382908908566,0.903855074806252,0.9024872779816558,0.0006716657035367287,0.005214124045001546,0.0006997773079639827,100.0,150.78049350219942,0.0,0.6584793835241803,0.2887860939282314,0.05273452254758812
Hardap,0.6494423792748734,561,0.2769812034697687,0.07357641725535796,0.5320036147721288,0.32188501728589186,0.14611136794197951,0.7409365842233276,0.707963590618815,0.0016567109091815203,0.00397157968192771,0.0,32.00839636955549,57.89161488506392,2.0,0.7974103969680556,0.1773467359366515,0.02524286709529288
Kavango East,0.21612663458711615,554,0.30281776288267676,0.4810556025302071,0.20868117888177845,0.29375546871188263,0.49756335240633903,0.6419278399342361,0.6132492006658501,0.15098971405880443,0.22386328439401093,0.014734184554979565,11.821667260335968,18.08733737674858,6.422628395536488,0.39551758875547205,0.556760680193163,0.04772173105136475
Kavango West,0.14822406378916766,568,0.2881354017196982,0.5636405344911342,0.13483100487465258,0.23283396018356184,0.6323350349417856,0.6841191790074417,0.6076180892421247,0.35285449135705454,0.5213608990956187,0.07672556651626335,16.491715299944826,24.084304876526897,6.4493310896006015,0.34721737013898496,0.5880675308253885,0.06471509903562643
Khomas,0.5970838907089681,1084,0.28519312786275614,0.11772298142827588,0.5791027196362657,0.2855199099758942,0.1353773703878401,0.8413605007973419,0.8289876606760893,0.010951386396919253,0.008046257115136596,0.007885289608017286,16.620373204372004,1076.1789226310627,23.633893093672825,0.6776771585234551,0.28122062191900715,0.0411022195575377
Kunene,0.39459653397792677,570,0.29768639879931497,0.3077170672227583,0.3469570565230837,0.29301338928132575,0.3600295541955906,0.8025473355112778,0.7705093668623685,0.024092211119964128,0.008339420344783329,0.00270582435077395,137.4392251991957,131.11548042024774,25.0,0.5721433983251296,0.40241828946505664,0.02543831220981373
Ohangwena,0.2951404855913139,854,0.324832697320212,0.380026817088474,0.25932381407348704,0.30974340733426564,0.4309327785922472,0.7673882761074283,0.685296370153189,0.107656345451667,0.6563689696988798,0.23109948204981975,3.7340936709876633,132.73924882978056,5.452813373334202,0.41441248711788387,0.5267652728999751,0.058822239982141075
Omaheke,0.35943015258080463,557,0.3172882285491198,0.32328161887007545,0.3142405644874981,0.32779212571377053,0.3579673097987313,0.7487207032211364,0.7126254984674723,0.023369807457852998,0.0,0.0,107.27076390543279,0.0,0.0,0.5027024961717288,0.4589711542401685,0.03832634958810267
Omusati,0.2774374546189689,854,0.3582364648080342,0.36432608057299687,0.23883241488559878,0.3563365362749995,0.40483104883940163,0.8657006220172798,0.8106354303538713,0.08200335615060671,0.5743879791098236,0.22632002438648388,40.876401973007994,159.6974480115622,21.8026769811293,0.4194300545057059,0.4591542838993553,0.12141566159493873
Oshana,0.4986781004886811,846,0.3071620788723449,0.19415982063897408,0.47579907216307693,0.3129821790491428,0.21121874878778055,0.8863061407536158,0.8568502731712655,0.039453324742532464,0.3791183487319331,0.0952499205222891,2.7575115464136686,98.43746935038945,27.242734064290513,0.5941519142756673,0.3735175670793821,0.032330518644950894
Oshikoto,0.3171379161786874,852,0.29621490440218484,0.38664717941912774,0.29958059460862324,0.27427358586330614,0.4261458195280706,0.830119325960784,0.7837747205960773,0.06249507414004377,0.49614158948900117,0.07837347613026738,15.929815915617239,90.82121315633705,9.981934995907013,0.45463380683923044,0.5166700520764025,0.028696141084367018
Otjozondjupa,0.4995099033453493,837,0.2703890137074625,0.23010108294718823,0.4632136352375071,0.27717328325543433,0.25961308150705864,0.8327696742471917,0.8085156669030082,0.012888413633016873,0.0020336821311527924,0.0017975252170586078,16.932320045678942,0.0,27.22868383085817,0.5687118861955764,0.37426749527818165,0.05702061852624185
Zambezi,0.4305134612026459,566,0.32972757203315056,0.23975896676420344,0.4143523964850618,0.3107399914485761,0.27490761206636205,0.88851538710423,0.8685952920898086,0.26462145518502683,0.03663874923795856,0.01780270892229736,258.35162254329555,0.5634548351852928,9.193771205832368,0.6874778966368051,0.31252210336319475,0.0
Female,0.4548740571174206,4616,0.3104597367254527,0.2346662061571266,0.4219094617375537,0.3086231820014216,0.26946735626102464,0.8378469486275025,0.8013969809043351,0.06440876206772296,0.2749965528975327,0.08026228724495742,10.563392222535555,98.18364187476965,13.867353024668796,0.584123874258826,0.36997526375553147,0.045900861985642694
Male,0.4605972102788534,5474,0.29222005748421154,0.2471827322369351,0.4358637488857645,0.28900248889919106,0.2751337622150443,0.8152495874087461,0.786665002939623,0.052767753180791514,0.16303793380009135,0.04745604782897898,115.67914142133708,152.98080124512722,17.1932865143316,0.551889684094041,0.39781206440966055,0.05029825149629838
