index,q02_58_01,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15
,group_wa10,count,group_wa10,group_wa10,group_wa10,group_wa10
Rural,0.5268117669892819,5535,0.8475534624147122,0.35397739729626565,0.7830035759993618,0.3307902998493339
Urban,0.8432516735606551,4555,0.795943703874654,0.6575446304744852,0.8609547726049193,0.6976139916576859
!Karas,0.8791892694606318,559,0.730204555556287,0.6753627963725378,0.8261311678576266,0.7170567832130903
Erongo,0.8663583559677868,828,0.7393865050088055,0.6879408354295155,0.903855074806252,0.7535685330424999
Hardap,0.8950036696544027,561,0.8771638602183602,0.6808622923651129,0.7409365842233276,0.6955129679156621
Kavango East,0.4847769229247795,554,0.8630189347793278,0.25029410913212946,0.6419278399342361,0.26396373908329684
Kavango West,0.41103103485486164,568,0.871471236248497,0.17355249444317195,0.6841191790074417,0.17551050685158567
Khomas,0.8343726431148997,1084,0.8022022958510179,0.6449882661657924,0.8413605007973419,0.71391450330915
Kunene,0.622672506556498,570,0.9240325795588178,0.4642069601986705,0.8025473355112778,0.4996396410584368
Ohangwena,0.5382782273278895,854,0.8173120198078531,0.37683544117495027,0.7673882761074283,0.24961126800680208
Omaheke,0.592671112645746,557,0.8717050339378799,0.4434774210649829,0.7487207032211364,0.5154367699683732
Omusati,0.5577572889812431,854,0.7402571039295239,0.35535408506472893,0.8657006220172798,0.2365871351177116
Oshana,0.7479220487091562,846,0.8138993469215602,0.5565962311405509,0.8863061407536158,0.6952336159137896
Oshikoto,0.5141836465466236,852,0.9117540192082398,0.4163070902129361,0.830119325960784,0.35010998415432215
Otjozondjupa,0.6926745316718037,837,0.819016735997531,0.5767342887263573,0.8327696742471917,0.711214136917655
Zambezi,0.7208654429434377,566,0.9666124536933675,0.4698890514950047,0.88851538710423,0.2145032967009543
Female,0.701384387576132,4616,0.8368386246970512,0.5188234633841621,0.8378469486275025,0.5020896141043376
Male,0.6955234529072356,5474,0.8060679796905073,0.5178910251346828,0.8152495874087461,0.5508061994564162
0-18,0.4006856407459539,37,0.8048467875927077,0.35841124781191025,0.6220185981725957,0.19060756576039103
18-59,0.7157994677756667,7809,0.8204548897939443,0.543229405405347,0.8286448792042419,0.5696761993254497
60+,0.6281435415013309,2244,0.8163170194030219,0.4140488076259974,0.8147722438747798,0.3624911036220533
No formal education,0.46081780953234386,1905,0.8513143180161528,0.2730676032483843,0.7235743016242565,0.2673322621496909
Not stated,0.5476828667389975,55,0.8980392105197051,0.4708499909951988,0.852950899387918,0.4529103085801159
Primary,0.5858551674997853,2725,0.8555207742334965,0.3988378391731995,0.7951244664334777,0.4092040268130978
Secondary,0.7857376532305065,4170,0.8100247311440896,0.5957407549783544,0.8642527371048712,0.6187386419962222
Tertiary,0.8932321589451818,946,0.7496383003318857,0.7577533109902751,0.8692461702699453,0.7688459105410732
1,0.35969935745000364,675,0.9028757000002314,0.20037376994861839,0.6460594318775523,0.20559294206301
2,0.49130671655729374,765,0.8702308996558963,0.30057997272746256,0.7726734868443104,0.2957885300488593
3,0.5642368249383586,839,0.863277300078483,0.34225171693036166,0.7996759775335375,0.3447340695485652
4,0.5864142881451794,854,0.8674997673145186,0.4024423819503158,0.8001156410781342,0.388471232015073
5,0.6359839484187833,950,0.866854920452695,0.4432594849011701,0.828727127703326,0.43352258456113973
6,0.698274647151928,1008,0.8438161329155044,0.4701795716412497,0.8205168408678108,0.47899930348494624
7,0.7152389482823163,1101,0.8079433937865569,0.570677878200934,0.8487746601364387,0.5545530362555392
8,0.7742050277422451,1197,0.8178488284703269,0.5860108776924069,0.8529084182252956,0.6069916128351593
9,0.8292591388553283,1283,0.8050509262235523,0.6791565586655156,0.881932505884908,0.7184147828050532
10,0.8693057873060785,1418,0.7088057745129739,0.7018473326270793,0.8505575028841337,0.7360814967390514
Afrikaans,0.928238422841994,715,0.7224343450226318,0.7506408783312194,0.872189203712945,0.831843200671743
English,0.8874465296664269,111,0.6911924564159106,0.7272277710885292,0.9374720564490494,0.8722781622182851
German,0.823159256861047,33,0.6782667797801541,0.679410754647855,0.8421536465453403,0.7052018687698277
Khoisan,0.26490686171987565,146,0.9465203676762944,0.18268111434007794,0.6055713386634991,0.2915952789427508
Nama/Damara,0.8140861146222805,1292,0.8575004112255761,0.6368337107964268,0.7876737068786311,0.6784818766614044
Oshiwambo,0.6680920616261657,4610,0.8134845305059045,0.4887103550145253,0.8485272177717544,0.4773218943428995
Other,0.8031159144676603,165,0.5337526007291644,0.7005893015338462,0.7205470045772954,0.6567320072604836
Other African,0.7898348914299591,108,0.7986483261046463,0.6275964145421052,0.8520969256607354,0.5985052192834998
Other European,0.9655171857697163,35,0.6255066203114295,0.6999580452181668,0.8913193203383378,0.7388653097695569
Otjiherero,0.6648464897869287,1000,0.8589660203621374,0.5029527238595796,0.8159905245959885,0.603914183834345
Rukavango,0.5065410984746034,1272,0.8733511652557807,0.282886992732442,0.7110130962681995,0.3299293792856694
Setswana,0.786532936166477,31,0.841953457096755,0.6169918306198391,0.598967051650822,0.5156359553848832
Zambezi languages,0.7547804355069799,572,0.9479569911541762,0.5494685757776041,0.8967034640942074,0.3257759213693973
