index,q02_59_01,q02_59_01,q02_59_02,q02_59_02,q02_59_04,q02_59_04,q02_59_13,q02_59_13,q02_59_15,q02_59_15
,group_wa11,count,group_wa11,count,group_wa11,count,group_wa11,count,group_wa11,count
Rural,3.9008056602420296,2863,6.385377552208171,4773,2.82940158531825,1901,6.513879412855561,4242,5.388063620401914,1817
Urban,5.398115831892037,3846,5.284292692106921,3654,2.886068632974714,3007,6.55223259461364,3915,5.8425949277355755,3139
!Karas,5.679560921379457,484,5.735864536355826,423,2.7202566137866855,365,6.568450227246492,457,5.836922544976765,390
Erongo,5.269388443032267,705,5.244611837391183,604,2.8232799129282395,560,6.563211601875731,742,5.946786248799986,625
Hardap,4.886251736387712,506,5.182965851308319,493,2.4275112871715336,376,6.403882014246209,423,5.422506825259502,393
Kavango East,4.244879467550975,275,6.15113810911721,475,3.086813948084695,158,6.262633583536239,363,5.325184088021674,166
Kavango West,3.083592409455379,222,6.437473574617791,505,2.0156145279094684,90,6.150736086487144,379,4.5075598807177455,96
Khomas,5.536102259627256,921,5.068802683146858,862,2.8596125238741408,715,6.544247985845812,912,5.90781510373482,781
Kunene,3.914666821947462,346,6.120722217790052,531,2.5657689644725,258,6.110052400710599,455,4.819969120815203,277
Ohangwena,3.9810103398414496,441,6.231431592631487,700,3.2286892360994974,305,6.797544914487028,645,5.008706979411104,192
Omaheke,4.463393832575223,319,5.980378048264066,484,2.570972642456286,236,6.21186575037172,413,4.451762885874203,290
Omusati,4.033788208126038,476,6.327859686159752,645,2.622070442708638,291,6.60260685242889,731,5.413877022715592,191
Oshana,5.155863158312709,622,6.0611525871095395,698,3.3359463002596343,484,6.768598477180501,746,6.340262399495076,587
Oshikoto,4.630233010967321,429,6.3146722525602454,774,3.1040078796091226,344,6.6732314185020405,696,5.8591629233168865,266
Otjozondjupa,4.654348258009055,572,5.730080297144251,684,2.7487354994965054,481,6.270578911121319,699,5.706811771515011,598
Zambezi,4.170740552138717,391,6.522299699050458,549,3.0890997472183415,245,6.585119068526566,496,4.561981076843979,104
Female,4.780544075450151,3086,5.820102453400052,3904,2.8690863940551954,2273,6.567911227491186,3781,5.597712806918707,2145
Male,4.958604005807103,3623,5.795505938899267,4523,2.867710345262807,2635,6.509367671647685,4376,5.794493123658056,2811
0-18,3.7436074207762693,16,5.622808693733899,30,3.0499723242253416,13,6.704738144022556,22,5.427045858705245,8
18-59,4.976343947836176,5334,5.695972616306448,6507,2.8727123959835317,4015,6.527622422192768,6364,5.731588145589311,4182
60+,4.420315087473997,1359,6.291084122148101,1890,2.839926595326497,880,6.56751143425489,1771,5.584644245083777,766
No formal education,3.854930018576238,852,6.498625977797736,1661,2.6118726639481538,508,6.389199436986932,1338,5.183779933521988,493
Not stated,4.4744906174159444,28,6.318797865241575,48,2.6612964836469404,25,6.6878065046852315,42,5.850415251100874,23
Primary,4.310143146456551,1539,6.238128721739665,2355,2.7239860482992437,1024,6.517447074967566,2127,5.467044161936611,1055
Secondary,5.0330616986944126,3198,5.614012037240203,3420,2.866885495928742,2441,6.5704924907381095,3576,5.745251772287287,2494
Tertiary,5.8226916868139815,849,4.871639305165415,726,3.070559749737123,709,6.580361263855103,828,6.137701910532552,700
