index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment,,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment
Rural,0.000952986,0.008677448,0.000628578,0.842921207,0.000889243,0.001911634,0.019363177,0.066530142,6.97E-05,0.055383168,0.002672706,0.005376633,0.019449681,0.002937657,0.497506276,0.002592543,0.108978727,0.029016241,0.040218605,0.000659114,0.288097923,0.005166599,0.000594063,0.013145898,0,0.883290348,0.000429384,0.010893805,0.021571077,0.067209747,0.001562406,0,0.001303272,0.003964972,0.018403026,0.002689399,0.884288729,0.001522956,0.00067552,0.02529143,0.045981945,0.000150837,0.015408664,0.001622521,0.000323258,0.017984952,0.923638905,0,0.00095076,0.020510114,0.033582042,0,0.000992965,0.002017004,,0.1,0.9,0.1,84.3,0.1,0.2,1.9,6.7,0.0,5.5,0.3,0.5,1.9,0.3,49.8,0.3,10.9,2.9,4.0,0.1,28.8,0.5,0.1,1.3,0.0,88.3,0.0,1.1,2.2,6.7,0.2,0.0,0.1,0.4,1.8,0.3,88.4,0.2,0.1,2.5,4.6,0.0,1.5,0.2,0.0,1.8,0.0,92.4,0.0,0.1,2.1,3.4,0.0,0.1,0.2
Urban,0.000373727,0.004510337,0.000334622,0.957131725,0,0.000162221,0.010658671,0.009691293,0.001955505,0.013358566,0.001823332,0.002089244,0.00465823,0.000354511,0.90318614,0.000472647,0.018493691,0.003628539,0.041845272,0.001619424,0.022378308,0.001273994,0.001343426,0.00371345,0.000429128,0.977277695,0.000384491,0.000762997,0.005625445,0.00961893,0.000322806,0.000401257,0.000120374,0.001827129,0.0042182,0,0.976360451,0,0.000620467,0.00501427,0.007993619,0.000855977,0.002540967,0.000568919,0.000916273,0.004882996,0.98445167,0.000706886,0.000789987,0.004574308,0.00282447,0.000151283,0,0.000702127,,0.0,0.5,0.0,95.7,0.0,0.0,1.1,1.0,0.2,1.3,0.2,0.2,0.5,0.0,90.3,0.0,1.8,0.4,4.2,0.2,2.2,0.1,0.1,0.4,0.0,97.7,0.0,0.1,0.6,1.0,0.0,0.0,0.0,0.2,0.4,0.0,97.6,0.0,0.1,0.5,0.8,0.1,0.3,0.1,0.1,0.5,0.0,98.4,0.1,0.1,0.5,0.3,0.0,0.0,0.1
!Karas,0,0.013672395,0,0.902136807,0,0.003055009,0.009920568,0,0.003473918,0.064020473,0.00372083,0.007393255,0.028507175,0,0.928537521,0,0.022905166,0,0.001462512,0.002545041,0.008649328,0,0,0.024952434,0,0.96910916,0,0,0,0.005520069,0,0,0.000418336,0.009167503,0.017184997,0,0.938793621,0,0.002348726,0.013904387,0.004493857,0,0.013764919,0.00034199,0.004935083,0.016192192,0.978478712,0,0,0,0,0,0,0.000394012,,0.0,1.4,0.0,90.2,0.0,0.3,1.0,0.0,0.3,6.4,0.4,0.7,2.9,0.0,92.9,0.0,2.3,0.0,0.1,0.3,0.9,0.0,0.0,2.5,0.0,96.9,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.9,1.7,0.0,93.9,0.0,0.2,1.4,0.4,0.0,1.4,0.0,0.5,1.6,0.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erongo,0.001255354,0.008946407,0,0.962755428,0,0,0.010323754,0.010549276,0,0.002978444,0.003191339,0,0.004500003,0,0.959747619,0,0.022769148,0.00715209,0.003226101,0.001223903,0.001381136,0,0,0.004353865,0,0.983260843,0,0.000600968,0.008650895,0.001988248,0.000782457,0,0.000362724,0,0.0049271,0,0.98657006,0,0.000351985,0.006637563,0.001513292,0,0,0,0,0.003333323,0.987146036,0.002414746,0,0.005290802,0.001815093,0,0,0,,0.1,0.9,0.0,96.3,0.0,0.0,1.0,1.1,0.0,0.3,0.3,0.0,0.5,0.0,96.0,0.0,2.3,0.7,0.3,0.1,0.1,0.0,0.0,0.4,0.0,98.3,0.0,0.1,0.9,0.2,0.1,0.0,0.0,0.0,0.5,0.0,98.7,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.3,0.0,98.7,0.2,0.0,0.5,0.2,0.0,0.0,0.0
Hardap,0.001221342,0.008500476,0,0.785758852,0,0.001543935,0.032590363,0.023246391,0.002097413,0.141921988,0.00311924,0,0.006751282,0,0.818726281,0.001877153,0.120274665,0.021562941,0.021099583,0,0.004213405,0.005494691,0.001185209,0.001118995,0,0.921343089,0,0.002541941,0.021555828,0.047759614,0,0,0.004495324,0.004201165,0.009317825,0,0.935709034,0,0,0.010471366,0.013545484,0,0.026755127,0,0,0.004298485,0.974639033,0,0,0.001567838,0.010502273,0,0.00459174,0.004400632,,0.1,0.9,0.0,78.6,0.0,0.2,3.3,2.3,0.2,14.2,0.3,0.0,0.7,0.0,81.9,0.2,12.0,2.2,2.1,0.0,0.4,0.5,0.1,0.1,0.0,92.1,0.0,0.3,2.2,4.8,0.0,0.0,0.4,0.4,0.9,0.0,93.6,0.0,0.0,1.0,1.4,0.0,2.7,0.0,0.0,0.4,0.0,97.5,0.0,0.0,0.2,1.1,0.0,0.5,0.4
Kavango East,0,0,0,0.965515533,0,0,0,0.026420983,0,0.008063484,0,0.004695617,0.032524703,0.013942153,0.757277681,0.000731446,0.058802133,0.001217007,0.091355364,0.001135115,0.029667429,0.008651352,0.00585972,0,0,0.909988638,0,0.061101646,0,0.023049996,0,0,0,0.019533265,0.017734662,0,0.930058215,0,0.002329962,0.005201363,0.025142534,0,0,0,0,0,0.986843168,0,0,0,0.013156832,0,0,0,,0.0,0.0,0.0,96.6,0.0,0.0,0.0,2.6,0.0,0.8,0.0,0.5,3.3,1.4,75.7,0.1,5.9,0.1,9.1,0.1,3.0,0.9,0.6,0.0,0.0,91.0,0.0,6.1,0.0,2.3,0.0,0.0,0.0,2.0,1.8,0.0,93.0,0.0,0.2,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,0.0,1.3,0.0,0.0,0.0
Kavango West,0,0.007314255,0,0.83909342,0,0,0.007385359,0.135338058,0,0.010868908,0,0.011126619,0.029811768,0.011886068,0.608986732,0,0.088624463,0.005101862,0.062935211,0.01103108,0.141773754,0.028722443,0,0,0,0.855792504,0,0.00597121,0.011519819,0.071878453,0.054838013,0,0,0.006501538,0.017516909,0.004105755,0.861345633,0.027131598,0,0.009313243,0.052079013,0.002970868,0.014805149,0.004230294,0,0,0.974706519,0,0,0,0.025293481,0,0,0,,0.0,0.7,0.0,83.9,0.0,0.0,0.7,13.5,0.0,1.1,0.0,1.1,3.0,1.2,60.9,0.0,8.9,0.5,6.3,1.1,14.2,2.9,0.0,0.0,0.0,85.6,0.0,0.6,1.2,7.2,5.5,0.0,0.0,0.7,1.8,0.4,86.1,2.7,0.0,0.9,5.2,0.3,1.5,0.4,0.0,0.0,0.0,97.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0
Khomas,0,0.004606019,0,0.943518782,0,0,0.017396382,0.013467357,0.00304645,0.015503376,0.002461634,0.001651519,0.008122759,0,0.92141158,0,0.016702658,0.012248765,0.035228108,0,0.002247141,0.00238747,0.002050917,0.003673456,0,0.974545573,0.001029028,0,0.011133679,0.007567347,0,0,0,0,0.005915537,0,0.964853283,0,0.001136182,0.013389244,0.009917239,0.001572236,0.001780555,0.001435724,0,0.0060772,0.974520903,0,0.002026544,0.014102566,0.001580762,0,0,0.001692026,,0.0,0.5,0.0,94.4,0.0,0.0,1.7,1.3,0.3,1.6,0.2,0.2,0.8,0.0,92.1,0.0,1.7,1.2,3.5,0.0,0.2,0.2,0.2,0.4,0.0,97.5,0.1,0.0,1.1,0.8,0.0,0.0,0.0,0.0,0.6,0.0,96.5,0.0,0.1,1.3,1.0,0.2,0.2,0.1,0.0,0.6,0.0,97.5,0.0,0.2,1.4,0.2,0.0,0.0,0.2
Kunene,0.005788883,0.031618572,0,0.801648119,0,0.002456652,0.030806417,0.056880465,0.000494913,0.064855687,0.005450292,0.017087076,0.037133939,0.003940907,0.61955735,0,0.217158811,0.02554986,0.050281447,0,0.024396861,0.004893749,0.000481737,0.040921389,0,0.910882682,0,0.002564634,0.009346369,0.032858988,0,0.002944201,0,0.004736635,0.059688208,0.002296161,0.879708617,0,0,0.020682827,0.029573327,0,0.003314226,0,0.005081452,0.01801998,0.952368837,0,0,0.010963148,0.013566582,0,0,0,,0.6,3.2,0.0,80.2,0.0,0.2,3.1,5.7,0.0,6.5,0.5,1.7,3.7,0.4,62.0,0.0,21.7,2.6,5.0,0.0,2.4,0.5,0.0,4.1,0.0,91.1,0.0,0.3,0.9,3.3,0.0,0.3,0.0,0.5,6.0,0.2,88.0,0.0,0.0,2.1,3.0,0.0,0.3,0.0,0.5,1.8,0.0,95.2,0.0,0.0,1.1,1.4,0.0,0.0,0.0
Ohangwena,0,0,0,0.89870658,0,0.001394532,0,0.080538657,0,0.019360232,0,0,0.001762185,0,0.513473154,0,0.061582223,0.004096316,0.059670333,0.00243305,0.351660561,0.005322178,0.003169182,0,0,0.909908278,0.002078201,0.002655051,0,0.079747029,0,0,0.002442259,0.00153517,0.003150037,0.003239534,0.887162788,0,0,0.002711464,0.06489909,0,0.034012116,0.0032898,0,0,0.936610468,0,0,0,0.05970248,0,0,0.003687052,,0.0,0.0,0.0,89.9,0.0,0.1,0.0,8.1,0.0,1.9,0.0,0.0,0.2,0.0,51.3,0.0,6.2,0.4,6.0,0.2,35.2,0.5,0.3,0.0,0.0,91.0,0.2,0.3,0.0,8.0,0.0,0.0,0.2,0.2,0.3,0.3,88.7,0.0,0.0,0.3,6.5,0.0,3.4,0.3,0.0,0.0,0.0,93.7,0.0,0.0,0.0,6.0,0.0,0.0,0.4
