index,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6
Rural,260.33934316612533,351.75902930776533,59.309798676730104,86.24326592663026,174.25500756394865
Urban,74.32264554624695,665.7921756062223,117.55458882155493,0.0,5.0
!Karas,24.789197385880083,600.0,0.0,0.0,0.0
Erongo,200.0,269.3362638987283,50.0,0.0,0.0
Hardap,78.34732728259249,261.44925788069804,2.0,0.0,0.0
Kavango East,149.1382922341465,201.47136434991205,87.49233521448956,0.0,1.0
Kavango West,127.14859175687494,228.8253982955624,62.20095241118088,0.0,0.0
Khomas,76.14139941007092,3313.641025431275,188.50087853302745,0.0,5.0
Kunene,204.95820627643857,262.23096084049547,50.0,50.0,342.86073125440623
Ohangwena,23.24294050527301,375.1065911400314,29.856126532649558,0.0,0.0
Omaheke,404.60917447456296,0.0,0.0,0.0,0.0
Omusati,566.681086874999,453.5490813954551,79.31218320203452,0.0,0.0
Oshana,54.95404901194872,293.74860726229184,70.45837061336314,0.0,49.99999999999999
Oshikoto,78.66173500643683,280.50394529685497,63.42375387026403,96.11459793328048,0.0
Otjozondjupa,74.40726976287714,20.0,40.91169730114531,0.0,0.0
Zambezi,505.4354705095223,99.63941530545752,78.45328540102373,0.0,13.641747545463003
Female,174.87667155049544,338.0126618312656,61.0855599782025,85.91766609378162,54.90593901352497
Male,292.77559066716094,415.91870761053474,65.71115445346638,87.05108455494177,204.78580364312765
0-18,92.5484146604588,203.9819973030346,5.0,0.0,0.0
18-59,219.24184636855153,360.691217522615,57.640350282334595,101.46232827951114,164.72177691089823
60+,268.2742134027478,388.60621181020144,70.54215860765619,64.1977349629899,76.91578382604149
No formal education,121.77581318326256,392.01809678991077,57.293446884476985,20.0,125.11243718935228
Not stated,147.3251250761153,206.27660876385528,155.62085993362112,0.0,0.0
Primary,242.5019558957474,315.23434495362795,49.438615048099386,102.00215513487049,571.6076909584278
Secondary,328.3744744055111,386.4217917504179,80.8881739479166,20.0,5.670070318409569
Tertiary,77.6999799475672,769.1995589791477,88.61249529098173,150.0,23.034910426094783
1,118.51412732364734,198.9016471376148,43.650349294840126,0.0,63.64499933874299
2,96.09791243216655,267.3964546557662,50.12228890788516,0.0,50.782663049593424
3,87.75072174868198,264.29295654930127,36.78057407892639,0.0,0.0
4,113.45325770466728,415.48347731829386,63.297766835612485,36.28571879635686,0.0
5,394.46122741743886,349.458267568718,51.40703627482922,99.11939762599987,0.0
6,125.05949089612483,348.7758552387237,48.604128040367726,117.19557983411805,20.0
7,547.8515706176165,403.62591902765655,46.7705097898919,0.0,0.0
8,125.143688218811,581.4136191866468,117.75983536525375,150.0,150.0
9,710.8029118873155,459.4056292253658,121.23975450500905,0.0,401.47193432860496
10,112.64779084846894,497.81886050461173,59.12244784302127,0.0,49.99999999999999
Afrikaans,29.361253858856614,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0
German,50.00000000000001,0.0,0.0,0.0,0.0
Khoisan,10.186719731819114,42.06119888540122,50.00000000000001,0.0,0.0
Nama/Damara,46.84918638158329,0.0,0.0,50.0,150.0
Oshiwambo,192.60841684735138,392.34157863389555,63.219191666011746,96.11459793328048,306.07316548706297
Other,91.95637291002996,574.4248762957336,22.006772609073614,0.0,0.0
Other African,25.814599763493238,73.54594769526892,0.0,0.0,0.0
Other European,0.0,0.0,0.0,0.0,0.0
Otjiherero,291.39808526038934,377.7229150428886,40.96445616374665,0.0,125.11243718935228
Rukavango,150.2902958699312,221.05150911457324,63.656721733410556,0.0,1.0
Setswana,0.0,0.0,0.0,0.0,0.0
Zambezi languages,514.3072929243897,109.53370385113303,87.41619334653939,0.0,13.641747545463003
