index,q07_08_3
Rural,0.016144933600244788
Urban,0.0013673090909106004
!Karas,0.003491067884434692
Erongo,0.001087586113121529
Hardap,0.0061167967001363914
Kavango East,0.002728382762331323
Kavango West,0.002328528295882067
Khomas,0.001139828489806614
Kunene,0.0011464795984289608
Ohangwena,0.039169345746929304
Omaheke,0.007527711502220354
Omusati,0.0020760536697521695
Oshana,0.012059840216291466
Oshikoto,0.018790527225295846
Otjozondjupa,0.01112372612921747
Zambezi,0.0
Female,0.008162720229686175
Male,0.008132216418611149
0-18,0.0
18-59,0.006752248258763335
60+,0.014348811262828002
No formal education,0.008545012926575135
Not stated,0.0
Primary,0.01415107902086569
Secondary,0.0064130489816899205
Tertiary,0.0024511699225371877
1,0.0009649259924587907
2,0.009596575455123407
3,0.014458553805330981
4,0.01255252155413466
5,0.015706538457290666
6,0.010487559579444692
7,0.007340043886407151
8,0.0020879660544474224
9,0.0023175812597990408
10,0.009580195104381684
Afrikaans,0.00404874640772132
English,0.0
German,0.00838731990351694
Khoisan,0.0
Nama/Damara,0.0
Oshiwambo,0.011740683790088328
Other,0.011641679917438535
Other African,0.0030211356329935333
Other European,0.0
Otjiherero,0.014415819377083494
Rukavango,0.0020441836597352354
Setswana,0.0
Zambezi languages,0.0
