hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
0508006B01601                          ,Total,2015-02-12,Rural,Kavango West,Female,18-59,Primary,1,Rukavango,70.2993264233924,0,1,0,1,0,,7.0,,7.0,,,food_assistance_government__charity,,bought_using_cash,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,0
0508006A00501                          ,Total,2015-02-12,Rural,Kavango West,Male,18-59,Secondary,3,Rukavango,48.085968679702,1,1,1,1,0,3.0,5.0,2.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,300.0,,,,,250.0,,,,,0.0,,,,,0.0,,,,0
0106010B01801                          ,Total,2015-04-28,Urban,!Karas,Male,18-59,Secondary,7,Other,119.38107860913799,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010B01101                          ,Total,2015-04-28,Urban,!Karas,Female,60+,Secondary,6,Other,71.9781809640521,1,0,0,0,1,3.0,,,,1.0,other_specify,,,,asking_for_help_from_others,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A04301                          ,Total,2015-04-28,Urban,!Karas,Female,18-59,Secondary,6,Other,50.069189801589204,1,0,0,1,1,2.0,,,1.0,1.0,bought_using_cash,,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A03401                          ,Total,2015-04-28,Urban,!Karas,Male,18-59,Secondary,9,Other,84.0840948589743,1,0,1,0,0,5.0,,3.0,,,bought_using_cash,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A02701                          ,Total,2015-04-28,Urban,!Karas,Female,18-59,Secondary,6,Other,67.5939021970158,1,0,1,1,0,7.0,,2.0,7.0,,bought_using_cash,,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A02001                          ,Total,2015-04-28,Urban,!Karas,Male,18-59,,10,Nama/Damara,69.3068215300062,1,0,1,0,0,7.0,,3.0,,,bought_using_cash,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A01304                          ,Total,2015-04-28,Urban,!Karas,Female,18-59,,10,Oshiwambo,58.727263959059286,1,1,0,0,0,7.0,3.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A00901                          ,Total,2015-04-28,Urban,!Karas,Female,18-59,Secondary,6,Nama/Damara,70.8692771413467,1,0,1,0,1,5.0,,4.0,,7.0,bought_using_cash,,bought_using_cash,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010A00201                          ,Total,2015-04-28,Urban,!Karas,Male,18-59,Secondary,7,Other,84.2652000892746,1,0,1,1,0,7.0,,3.0,7.0,,bought_using_cash,,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007B01001                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,Tertiary,10,Other,66.7486366096367,1,0,1,1,1,6.0,,5.0,6.0,6.0,own_production_garden__livestock,,bought_using_cash,own_production_garden__livestock,own_production_garden__livestock,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1
0304007B01302                          ,Total,2015-04-28,Rural,Hardap,Female,18-59,Secondary,9,Oshiwambo,20.0240196167434,0,1,0,0,0,,7.0,,,,,bought_on_credit,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007A00201                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,Primary,9,Other,58.349009324405095,1,1,1,0,1,4.0,7.0,2.0,,7.0,received_as_in-kind_payment,received_as_in-kind_payment,received_as_in-kind_payment,,received_as_in-kind_payment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007A00601                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,Primary,7,Nama/Damara,35.6092114898878,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007A01301                          ,Total,2015-04-28,Rural,Hardap,Female,18-59,Primary,6,Nama/Damara,29.866086873442804,1,0,0,0,0,2.0,,,,,bought_using_cash,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007A01601                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,No formal education,5,Nama/Damara,22.846615892627806,1,1,1,0,0,2.0,7.0,1.0,,,asking_for_help_from_others,bought_using_cash,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007A01802                          ,Total,2015-04-28,Rural,Hardap,Female,18-59,Primary,4,Nama/Damara,29.866086873442804,0,0,0,0,1,,,,,2.0,,,,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007B00103                          ,Total,2015-04-28,Rural,Hardap,Female,18-59,Secondary,4,Oshiwambo,34.2500106162841,0,1,1,1,1,,7.0,1.0,3.0,1.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007B00107                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,Secondary,9,Oshiwambo,42.386801875702794,0,1,0,0,0,,6.0,,,,,received_as_in-kind_payment,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007B00501                          ,Total,2015-04-28,Rural,Hardap,Male,60+,Secondary,9,Oshiwambo,39.934031713759204,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,0
0304007B00901                          ,Total,2015-04-28,Rural,Hardap,Male,60+,No formal education,8,Nama/Damara,57.4824101995825,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010B02301                          ,Total,2015-04-28,Urban,!Karas,Male,18-59,Secondary,7,Other,77.12171235415771,1,1,0,1,1,7.0,7.0,,7.0,7.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0106010B03001                          ,Total,2015-04-28,Urban,!Karas,Female,18-59,Secondary,8,Other,46.851105897499714,1,1,1,1,1,7.0,7.0,3.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0304007B01202                          ,Total,2015-04-28,Rural,Hardap,Male,18-59,Primary,9,Nama/Damara,54.363630679032404,1,1,0,0,1,2.0,5.0,,,6.0,own_production_garden__livestock,own_production_garden__livestock,,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0202015A00101                          ,Total,2015-04-29,Rural,Erongo,Male,18-59,Tertiary,10,Oshiwambo,78.42293771925179,0,0,1,0,0,,,5.0,,,,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108045B03002                          ,Total,2015-04-29,Urban,Oshana,Female,18-59,Secondary,10,Oshiwambo,71.3498879405307,1,0,1,0,0,3.0,,2.0,,,bought_using_cash,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
