label,source,source
"Bread (white, brown, whole wheat, rye, maize, etc)",Supermarket,23671
"Bread (white, brown, whole wheat, rye, maize, etc)",Shebeen,3322
"Bread (white, brown, whole wheat, rye, maize, etc)",Open market/ Vendor,1669
"Bread (white, brown, whole wheat, rye, maize, etc)",From relative,679
"Bread (white, brown, whole wheat, rye, maize, etc)",Other (Specify),550
"Bread (white, brown, whole wheat, rye, maize, etc)",From employer,463
"Bread (white, brown, whole wheat, rye, maize, etc)",Take away,417
"Bread (white, brown, whole wheat, rye, maize, etc)",Petrol station,311
"Bread (white, brown, whole wheat, rye, maize, etc)",Own produce,254
"Bread (white, brown, whole wheat, rye, maize, etc)",Neighbors,186
"Bread (white, brown, whole wheat, rye, maize, etc)",Bottle store,52
"Bread (white, brown, whole wheat, rye, maize, etc)",Restaurant/ Hotel,28
"Bread (white, brown, whole wheat, rye, maize, etc)",Butchery,13
"Bread (white, brown, whole wheat, rye, maize, etc)",Drought relief,6
"Bread (white, brown, whole wheat, rye, maize, etc)",From nature,1
Bread/ cake flour (all types),Supermarket,1164
Bread/ cake flour (all types),Open market/ Vendor,62
Bread/ cake flour (all types),Shebeen,41
Bread/ cake flour (all types),From employer,41
Bread/ cake flour (all types),Other (Specify),41
Bread/ cake flour (all types),From relative,34
Bread/ cake flour (all types),Take away,14
Bread/ cake flour (all types),Own produce,11
Bread/ cake flour (all types),Restaurant/ Hotel,5
Bread/ cake flour (all types),Neighbors,5
Bread/ cake flour (all types),Drought relief,4
Bread/ cake flour (all types),Petrol station,3
Brotchen,Supermarket,715
Brotchen,Take away,29
Brotchen,From employer,17
Brotchen,From relative,16
Brotchen,Open market/ Vendor,15
Brotchen,Other (Specify),12
Brotchen,Petrol station,11
Brotchen,Shebeen,10
Brotchen,Butchery,4
Brotchen,Neighbors,3
Brotchen,Own produce,3
Cakes (all types),Supermarket,281
Cakes (all types),Open market/ Vendor,76
Cakes (all types),Own produce,38
Cakes (all types),Shebeen,30
Cakes (all types),From relative,29
Cakes (all types),Neighbors,24
Cakes (all types),Take away,20
Cakes (all types),From employer,19
Cakes (all types),Other (Specify),12
Cakes (all types),Restaurant/ Hotel,2
Cakes (all types),Petrol station,1
"Cooking oil, sunflower",Supermarket,31697
"Cooking oil, sunflower",Shebeen,3766
"Cooking oil, sunflower",Open market/ Vendor,1398
"Cooking oil, sunflower",From relative,985
"Cooking oil, sunflower",From employer,416
"Cooking oil, sunflower",Neighbors,317
"Cooking oil, sunflower",Other (Specify),289
"Cooking oil, sunflower",Bottle store,60
"Cooking oil, sunflower",Take away,49
"Cooking oil, sunflower",Drought relief,48
"Cooking oil, sunflower",Petrol station,37
"Cooking oil, sunflower",Own produce,35
"Cooking oil, sunflower",Restaurant/ Hotel,24
"Cooking oil, sunflower",Butchery,4
"Cooking oil, sunflower",From nature,4
Mageu/Oshikundu,Own produce,7364
Mageu/Oshikundu,Open market/ Vendor,296
Mageu/Oshikundu,Supermarket,279
Mageu/Oshikundu,From relative,247
Mageu/Oshikundu,Shebeen,205
Mageu/Oshikundu,Neighbors,174
Mageu/Oshikundu,Drought relief,27
Mageu/Oshikundu,From employer,19
Mageu/Oshikundu,Other (Specify),16
Mageu/Oshikundu,Take away,4
Mageu/Oshikundu,Petrol station,2
Mageu/Oshikundu,From nature,2
"Mahangu meal/ grain/ samp (pearl millet, raw)",Own produce,16273
"Mahangu meal/ grain/ samp (pearl millet, raw)",Supermarket,2580
"Mahangu meal/ grain/ samp (pearl millet, raw)",From relative,1214
"Mahangu meal/ grain/ samp (pearl millet, raw)",Open market/ Vendor,1060
"Mahangu meal/ grain/ samp (pearl millet, raw)",Neighbors,246
"Mahangu meal/ grain/ samp (pearl millet, raw)",Shebeen,69
"Mahangu meal/ grain/ samp (pearl millet, raw)",From employer,69
"Mahangu meal/ grain/ samp (pearl millet, raw)",Other (Specify),52
"Mahangu meal/ grain/ samp (pearl millet, raw)",Drought relief,18
"Mahangu meal/ grain/ samp (pearl millet, raw)",From nature,16
"Mahangu meal/ grain/ samp (pearl millet, raw)",Take away,7
"Mahangu meal/ grain/ samp (pearl millet, raw)",Restaurant/ Hotel,6
"Mahangu meal/ grain/ samp (pearl millet, raw)",Bottle store,1
"Mahangu meal/ grain/ samp (pearl millet, raw)",Butchery,1
Maize meal/ grain/ samp,Supermarket,30414
Maize meal/ grain/ samp,Drought relief,5543
Maize meal/ grain/ samp,Shebeen,2783
Maize meal/ grain/ samp,Open market/ Vendor,2050
Maize meal/ grain/ samp,From relative,1408
Maize meal/ grain/ samp,From employer,969
Maize meal/ grain/ samp,Own produce,855
Maize meal/ grain/ samp,Other (Specify),721
Maize meal/ grain/ samp,Neighbors,580
Maize meal/ grain/ samp,Petrol station,50
Maize meal/ grain/ samp,Take away,37
Maize meal/ grain/ samp,Bottle store,34
Maize meal/ grain/ samp,Restaurant/ Hotel,19
Maize meal/ grain/ samp,From nature,7
Maize meal/ grain/ samp,Butchery,1
Olive oil,Supermarket,113
Olive oil,From relative,6
Olive oil,From employer,5
Olive oil,Open market/ Vendor,2
Olive oil,Other (Specify),2
Olive oil,Own produce,1
Pies & pizzas,Supermarket,200
Pies & pizzas,Take away,64
Pies & pizzas,Restaurant/ Hotel,41
Pies & pizzas,Petrol station,15
Pies & pizzas,From relative,9
Pies & pizzas,Other (Specify),7
Pies & pizzas,Open market/ Vendor,6
Pies & pizzas,Neighbors,3
Pies & pizzas,Own produce,2
Pies & pizzas,From employer,2
Pies & pizzas,Butchery,1
"Sorghum meal/ grain (whole grain, raw)",Own produce,520
"Sorghum meal/ grain (whole grain, raw)",Open market/ Vendor,82
"Sorghum meal/ grain (whole grain, raw)",From relative,40
"Sorghum meal/ grain (whole grain, raw)",Supermarket,26
"Sorghum meal/ grain (whole grain, raw)",Neighbors,10
"Sorghum meal/ grain (whole grain, raw)",Take away,1
"Sorghum meal/ grain (whole grain, raw)",Drought relief,1
"Sorghum meal/ grain (whole grain, raw)",From employer,1
"Sorghum meal/ grain (whole grain, raw)",Other (Specify),1
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Own produce,460
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Open market/ Vendor,173
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Supermarket,137
"Traditional bread, ash bread, oshikwiila, oshima, omungome",From relative,68
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Shebeen,56
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Neighbors,34
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Take away,8
"Traditional bread, ash bread, oshikwiila, oshima, omungome",From employer,5
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Other (Specify),3
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Bottle store,1
Vetkoek,Open market/ Vendor,1632
Vetkoek,Shebeen,558
Vetkoek,Own produce,285
Vetkoek,Neighbors,205
Vetkoek,Take away,178
Vetkoek,Supermarket,162
Vetkoek,From relative,92
Vetkoek,Other (Specify),39
Vetkoek,Restaurant/ Hotel,7
Vetkoek,From employer,6
Vetkoek,Bottle store,3
Vetkoek,Petrol station,2
