label,source,source
"Bread (white, brown, whole wheat, rye, maize, etc)",Supermarket,0.748561128328379
"Bread (white, brown, whole wheat, rye, maize, etc)",Shebeen,0.10505344380494593
"Bread (white, brown, whole wheat, rye, maize, etc)",Open market/ Vendor,0.05277971032825248
"Bread (white, brown, whole wheat, rye, maize, etc)",From relative,0.02147239263803681
"Bread (white, brown, whole wheat, rye, maize, etc)",Other (Specify),0.01739295427234204
"Bread (white, brown, whole wheat, rye, maize, etc)",From employer,0.014641705141989755
"Bread (white, brown, whole wheat, rye, maize, etc)",Take away,0.01318702169375751
"Bread (white, brown, whole wheat, rye, maize, etc)",Petrol station,0.009834925052178863
"Bread (white, brown, whole wheat, rye, maize, etc)",Own produce,0.008032382518499779
"Bread (white, brown, whole wheat, rye, maize, etc)",Neighbors,0.005881980899373853
"Bread (white, brown, whole wheat, rye, maize, etc)",Bottle store,0.0016444247675668838
"Bread (white, brown, whole wheat, rye, maize, etc)",Restaurant/ Hotel,0.000885459490228322
"Bread (white, brown, whole wheat, rye, maize, etc)",Butchery,0.00041110619189172094
"Bread (white, brown, whole wheat, rye, maize, etc)",Drought relief,0.00018974131933464043
"Bread (white, brown, whole wheat, rye, maize, etc)",From nature,3.162355322244007e-05
Bread/ cake flour (all types),Supermarket,0.8168421052631579
Bread/ cake flour (all types),Open market/ Vendor,0.04350877192982456
Bread/ cake flour (all types),Shebeen,0.028771929824561403
Bread/ cake flour (all types),From employer,0.028771929824561403
Bread/ cake flour (all types),Other (Specify),0.028771929824561403
Bread/ cake flour (all types),From relative,0.023859649122807018
Bread/ cake flour (all types),Take away,0.009824561403508772
Bread/ cake flour (all types),Own produce,0.0077192982456140355
Bread/ cake flour (all types),Restaurant/ Hotel,0.0035087719298245615
Bread/ cake flour (all types),Neighbors,0.0035087719298245615
Bread/ cake flour (all types),Drought relief,0.002807017543859649
Bread/ cake flour (all types),Petrol station,0.002105263157894737
Brotchen,Supermarket,0.8562874251497006
Brotchen,Take away,0.03473053892215569
Brotchen,From employer,0.02035928143712575
Brotchen,From relative,0.019161676646706587
Brotchen,Open market/ Vendor,0.017964071856287425
Brotchen,Other (Specify),0.01437125748502994
Brotchen,Petrol station,0.013173652694610778
Brotchen,Shebeen,0.011976047904191617
Brotchen,Butchery,0.004790419161676647
Brotchen,Neighbors,0.003592814371257485
Brotchen,Own produce,0.003592814371257485
Cakes (all types),Supermarket,0.5281954887218046
Cakes (all types),Open market/ Vendor,0.14285714285714285
Cakes (all types),Own produce,0.07142857142857142
Cakes (all types),Shebeen,0.05639097744360902
Cakes (all types),From relative,0.05451127819548872
Cakes (all types),Neighbors,0.045112781954887216
Cakes (all types),Take away,0.03759398496240601
Cakes (all types),From employer,0.03571428571428571
Cakes (all types),Other (Specify),0.022556390977443608
Cakes (all types),Restaurant/ Hotel,0.0037593984962406013
Cakes (all types),Petrol station,0.0018796992481203006
"Cooking oil, sunflower",Supermarket,0.8100641467964936
"Cooking oil, sunflower",Shebeen,0.09624575123310077
"Cooking oil, sunflower",Open market/ Vendor,0.03572797669247872
"Cooking oil, sunflower",From relative,0.0251731452375476
"Cooking oil, sunflower",From employer,0.01063150093281198
"Cooking oil, sunflower",Neighbors,0.008101408162743745
"Cooking oil, sunflower",Other (Specify),0.007385826369189092
"Cooking oil, sunflower",Bottle store,0.0015333895576171127
"Cooking oil, sunflower",Take away,0.001252268138720642
"Cooking oil, sunflower",Drought relief,0.0012267116460936902
"Cooking oil, sunflower",Petrol station,0.0009455902271972194
"Cooking oil, sunflower",Own produce,0.0008944772419433157
"Cooking oil, sunflower",Restaurant/ Hotel,0.0006133558230468451
"Cooking oil, sunflower",Butchery,0.0001022259705078075
"Cooking oil, sunflower",From nature,0.0001022259705078075
Mageu/Oshikundu,Own produce,0.8528083381586566
Mageu/Oshikundu,Open market/ Vendor,0.034279096699478866
Mageu/Oshikundu,Supermarket,0.03231036479444123
Mageu/Oshikundu,From relative,0.028604516502605676
