3.1 Consumption statistics for each food item at national level,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
COICOP Code,,,,,
01111.01  Rice,22.32,22.32,1.01,77.90,2.97
01111.02  Malt/ Mealie Rice,0.07,0.07,0.11,0.26,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",168.44,168.44,3.25,419.76,7.43
01112.02  Brotchen,0.45,0.45,0.05,1.18,46.95
"01112.03  Biscuits, rusks",0.65,0.65,0.02,1.73,14.99
01112.04  Vetkoek,3.72,3.72,0.03,9.82,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",3.90,3.90,0.04,10.30,3.79
"01113.01  Macaroni, spaghetti, noodles",15.20,15.20,0.29,23.75,11.41
01114.01  Cakes (all types),1.45,1.45,0.11,4.88,22.78
01114.02  Pies & pizzas,0.27,0.27,0.02,1.37,11.95
01115.01  Breakfast cereals (all types),10.42,10.42,0.30,3.91,124.25
"01115.02  Baby foods, cereals",0.31,0.31,0.02,1.44,18.52
01115.03  Bread/ cake flour (all types),2.26,2.26,0.03,5.59,5.08
01115.04  Maize meal/ grain/ samp,131.59,131.59,1.63,472.43,3.22
01115.05  Mahangu meal/ grain/ samp,77.93,77.93,1.43,284.14,4.70
01115.06  Sorghum meal/ grain,0.77,0.77,0.05,2.63,21.68
01115.07  Cassava flour,0.02,0.02,0.00,0.08,5.97
01119.01  Other bread & cereals (specify),2.09,2.09,0.04,2.37,8.23
01121.01  Beef,93.18,93.18,3.14,219.53,26.61
01122.01  Pork,5.58,5.58,0.19,22.47,15.36
01123.01  Goat meat,9.11,9.09,0.29,16.05,17.03
01123.02  Mutton/ Lamb,6.18,6.16,0.42,20.34,25.21
01124.01  Chicken,24.78,24.78,0.88,33.38,25.92
"01124.02  Birds, other than chicken",0.20,0.20,0.01,0.40,19.42
01125.01  Bacon,0.24,0.24,0.01,0.97,39.72
01125.02  Ham,0.12,0.12,0.01,0.22,85.47
01125.03  Biltong,0.25,0.25,0.03,0.31,137.89
"01125.04  Smoked meat, other than bacon & ham",0.41,0.41,0.02,0.94,18.50
01125.05  Polony,1.15,1.15,0.07,2.87,21.05
"01125.06  Sausages, other than polony",3.76,3.76,0.22,8.53,27.75
"01125.07  Offals, meat waste",2.74,2.74,0.05,2.24,17.93
01125.08  Liver & kidneys,0.82,0.82,0.03,1.09,32.97
01126.01  Minced meat,2.37,2.37,0.13,4.04,34.76
01126.02  Canned meat,0.59,0.59,0.03,1.44,24.74
01127.01  Game/ Iguana,4.28,4.28,0.18,4.87,43.97
01127.02  Dog,0.59,0.59,0.01,2.37,4.85
01127.03  Donkey,1.07,1.07,0.02,1.38,15.26
01127.04  Tortoise,0.00,0.00,0.00,0.00,4.31
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.16,0.16,0.01,0.16,41.32
01129.99  Other meat (specify),2.23,2.23,0.07,7.37,9.50
01131.01  Fresh fish,9.94,9.90,0.45,9.97,19.98
01131.02  Frozen fish,9.01,8.99,0.88,11.63,79.73
"01132.01  Cray fish, all types",0.05,0.05,0.01,0.03,85.02
"01132.02  Snails, crabs",0.01,0.01,0.00,0.01,55.08
01132.03  Frogs,0.12,0.12,0.06,0.08,26.53
01133.01  Smoked fish,1.86,1.86,0.25,2.09,2236.47
01133.02  Kapenta/ Eentangu (fresh),0.04,0.04,0.00,0.04,43.18
01133.03  Dried fish,2.73,2.73,0.21,10.12,16.73
01134.01  Bottled/ Tinned fish,2.89,2.89,0.14,6.41,22.53
01139.99  Other amphibians (specify),0.25,0.25,0.02,0.17,116.14
01141.01  Fresh milk,13.12,13.12,0.23,8.46,31.01
01141.02  Long life milk,0.60,0.60,0.01,0.38,40.14
01141.99  Other dairy products (specify),1.05,1.05,0.03,0.93,29.35
01142.01  Fresh milk - Low fat,0.02,0.02,0.00,0.01,67.04
01142.02  Long life - Low fat,0.03,0.03,0.00,0.01,85.52
01143.01  Condensed milk,0.03,0.03,0.00,0.10,14.27
01143.02  Powdered milk,0.11,0.11,0.02,0.41,43.33
01143.03  Coffee creamer,0.09,0.09,0.00,0.32,9.45
01143.04  Baby milk powdered,0.88,0.88,0.07,4.57,7.94
01144.01  Clotted/ Cultured milk,3.75,3.75,0.10,2.86,36.66
01144.02  Yoghurt,0.83,0.83,0.03,0.60,45.89
01144.03  Traditional sour milk,18.18,18.18,0.20,8.65,23.43
"01145.01  Cheese, all types",1.05,1.05,0.12,3.86,27.18
01146.01  Cream,0.02,0.02,0.00,0.03,51.18
01147.01  Eggs,3.86,3.86,0.16,5.34,27.62
01151.01  Butter,0.69,0.69,0.12,4.95,33.96
01152.01  Margarine & margarine spreads,0.08,0.08,0.00,0.62,4.93
01152.02  Peanut butter,0.08,0.08,0.00,0.47,8.83
"01152.99  Spreads, other (specify)",0.01,0.01,0.00,0.04,12.33
01154.01  Cooking oil,7.20,7.20,0.37,64.81,5.50
01154.02  Olive oil,0.02,0.02,0.00,0.19,6.63
01155.01  Cooking fats,0.07,0.07,0.00,0.62,3.11
01155.02  Omaze ongombe,0.01,0.01,0.00,0.10,2.39
01155.03  Komazam & sheep tail fat,0.01,0.01,0.00,0.11,6.67
01159.99  Other oils & fats (specify),0.10,0.10,0.01,0.87,7.77
"01161.01  Citrus fruits (orange, lemon, etc.)",1.87,1.86,0.03,0.84,27.08
01162.01  Bananas,1.42,1.41,0.03,1.40,17.16
01163.01  Apples,2.10,2.10,0.04,1.11,33.35
01164.01  Pears,0.11,0.11,0.00,0.07,34.33
01165.01  Apricots,0.06,0.06,0.00,0.03,56.49
01165.02  Avocados,0.04,0.04,0.00,0.07,17.26
01165.04  Mangoes,0.49,0.49,0.03,0.37,118.74
01165.05  Plums,0.05,0.05,0.03,0.02,111.84
