3.1 Consumption statistics for each food item at national level,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
Food item code,,,,,
01111.01  Rice,21.18,21.18,0.99,73.93,2.97
01111.02  Malt/ Mealie Rice,0.07,0.07,0.11,0.27,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",166.67,166.67,3.22,414.85,7.44
01112.02  Brotchen,0.41,0.41,0.05,1.09,46.95
"01112.03  Biscuits, rusks",0.66,0.66,0.02,1.76,14.99
01112.04  Vetkoek,3.61,3.61,0.03,9.53,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",4.09,4.09,0.04,10.81,3.79
"01113.01  Macaroni, spaghetti, noodles",14.55,14.55,0.27,53.80,5.00
01114.01  Cakes (all types),1.44,1.44,0.11,4.82,22.78
01114.02  Pies & pizzas,0.28,0.28,0.02,1.43,11.95
01115.01  Breakfast cereals (all types),9.44,9.44,0.28,3.54,124.25
"01115.02  Baby foods, cereals",0.31,0.31,0.02,1.20,22.34
01115.03  Bread/ cake flour (all types),2.25,2.25,0.03,5.57,5.08
01115.04  Maize meal/ grain/ samp,127.69,127.69,1.59,439.90,3.36
01115.05  Mahangu meal/ grain/ samp,74.75,74.75,1.38,272.54,4.70
01115.06  Sorghum meal/ grain,0.73,0.73,0.05,2.52,21.68
01115.07  Cassava flour,0.02,0.02,0.00,0.08,5.97
01119.01  Other bread & cereals (specify),2.00,2.00,0.04,2.28,10.38
01121.01  Beef,76.93,76.93,2.54,181.25,26.61
01122.01  Pork,5.19,5.19,0.18,20.90,15.36
01123.01  Goat meat,8.92,6.60,0.28,11.66,22.96
01123.02  Mutton/ Lamb,5.95,4.46,0.40,14.72,33.52
01124.01  Chicken,24.10,24.10,0.86,32.47,25.92
"01124.02  Birds, other than chicken",0.21,0.21,0.01,0.42,19.42
01125.01  Bacon,0.27,0.27,0.02,1.10,39.72
01125.02  Ham,0.12,0.12,0.01,0.22,85.47
01125.03  Biltong,0.24,0.24,0.03,0.30,137.89
"01125.04  Smoked meat, other than bacon & ham",0.41,0.41,0.02,0.93,18.50
01125.05  Polony,1.13,1.13,0.06,2.82,21.07
"01125.06  Sausages, other than polony",3.63,3.63,0.22,8.23,27.57
"01125.07  Offals, meat waste",2.76,2.76,0.05,2.25,17.93
01125.08  Liver & kidneys,0.77,0.77,0.03,1.03,32.97
01126.01  Minced meat,2.27,2.27,0.13,3.86,34.76
01126.02  Canned meat,0.59,0.59,0.03,1.43,24.74
01127.01  Game/ Iguana,4.12,4.12,0.18,4.68,43.97
01127.02  Dog,0.41,0.41,0.01,0.52,15.19
01127.03  Donkey,1.05,1.05,0.02,1.35,15.26
01127.04  Tortoise,0.00,0.00,0.00,0.00,2.29
