3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01111.01  Rice,39.53,39.53,2.02,137.96,3.57
01111.02  Malt/ Mealie Rice,0.03,0.03,0.00,0.11,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",257.99,257.99,4.55,642.14,7.44
01112.02  Brotchen,0.63,0.63,0.07,1.67,46.95
"01112.03  Biscuits, rusks",0.69,0.69,0.03,1.83,14.99
01112.04  Vetkoek,5.65,5.65,0.04,14.92,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",11.10,11.10,0.11,29.30,3.79
"01113.01  Macaroni, spaghetti, noodles",23.66,23.66,0.45,87.46,6.49
01114.01  Cakes (all types),2.62,2.62,0.19,8.78,22.78
01114.02  Pies & pizzas,0.51,0.51,0.03,2.56,11.95
01115.01  Breakfast cereals (all types),18.41,18.41,0.52,6.91,124.25
"01115.02  Baby foods, cereals",0.08,0.08,0.01,0.31,22.34
01115.03  Bread/ cake flour (all types),15.87,15.87,0.21,39.24,5.08
01115.04  Maize meal/ grain/ samp,139.56,139.56,1.44,480.78,3.36
01115.05  Mahangu meal/ grain/ samp,12.41,12.41,0.28,45.26,5.74
01115.06  Sorghum meal/ grain,0.01,0.01,0.00,0.05,21.68
01119.01  Other bread & cereals (specify),0.99,0.99,0.01,1.12,7.03
01121.01  Beef,29.72,29.72,1.02,70.01,26.31
01122.01  Pork,5.51,5.51,0.17,22.21,15.36
01123.01  Goat meat,21.64,16.01,0.68,28.28,22.96
01123.02  Mutton/ Lamb,48.38,36.28,3.22,119.74,33.52
01124.01  Chicken,34.26,34.26,1.21,46.15,25.92
01125.01  Bacon,1.55,1.55,0.07,6.25,45.95
01125.02  Ham,0.03,0.03,0.00,0.05,85.47
01125.03  Biltong,0.19,0.19,0.03,0.23,148.56
