item_code,item_label,refuse,hdds,item_grp,fd_pro,fd_fat,fd_fib,fd_alc,fd_carb,Kcal
111101,Rice,0,1,1,6.9,0.6,1.4,0,78.3,349
111102,Malt/ Mealie Rice,0,1,1,4,0.34,1.8,0,91.86,390.1
111201,"Bread (white, brown, whole wheat, rye, maize, etc.)",0,1,1,8.4,1.8,3.1,0,48.3,249.2
111202,Brotchen,0,1,1,9.1,2.7,2.7,0,49.5,264.1
111203,"Biscuits, rusks",0,1,1,9.1,2.7,2.7,0,49.5,264.1
111204,Vetkoek,0,1,1,9.1,2.7,2.7,0,49.5,264.1
111209,"Traditional bread, ash bread, oshikwiila, oshima, omungome",0,1,1,9.1,2.7,2.7,0,49.5,264.1
111301,"Macaroni, spaghetti, noodles",0,1,1,5.4,0.7,1.6,0,31.3,156.3
111401,Cakes (all types),0,1,1,2.9,9.1,2.4,0,59.3,335.5
111402,Pies & pizzas,0,1,1,3.41,28.69,1.4,0,57.12,503.13
111501,Breakfast cereals (all types),0,1,1,0.77,0.1,1.1,0,7.84,37.54
111502,"Baby foods, cereals",0,1,1,17.6,19.7,0,0,56.1,472.1
111503,Bread/ cake flour (all types),0,1,1,7.6,11.3,1.2,0,28.2,247.3
111504,Maize meal/ grain/ samp,0,1,1,8.5,4,1.5,0,71.5,359
111505,Mahangu meal/ grain/ samp,0,1,1,8.8,5.8,9,0,64.8,364.6
111506,Sorghum meal/ grain,0,1,1,10.5,3.3,9.9,0,63,343.5
111507,Cassava flour,0,1,1,1.9,0.5,3.9,0,78.8,335.1
111901,Other bread & cereals (specify),25,1,1,21.81,2.93,0,0,0,113.61
112101,Beef,0,5,12,18.4,18,0,0,0,235.6
112201,Pork,0,5,12,12.3,38.8,0,0,1.1,402.8
112301,Goat meat,26,5,12,17.5,10.6,0,0,2.8,176.6
112302,Mutton/ Lamb,25,5,12,24.6,25.2,0,0,1.2,330
112401,Chicken,0,5,12,20.4,5.9,0,0,0,134.7
112402,"Birds, other than chicken",0,5,12,27.37,10.4,0,0,0,203.08
112501,Bacon,0,5,12,12.3,38.8,0,0,1.1,402.8
112502,Ham,0,5,12,16.5,10.3,0,0,4.2,175.5
112503,Biltong,0,5,12,21.7,4.3,0,0,0,125.5
112504,"Smoked meat, other than bacon & ham",0,5,12,10.5,19.4,0,0,2.6,227
112505,Polony,0,5,12,19.33,19.06,0,0,0,248.86
112506,"Sausages, other than polony",0,5,12,10.5,19.4,0,0,2.6,227
112507,"Offals, meat waste",0,5,12,12.1,3.7,0,0,0,81.7
112508,Liver & kidneys,0,5,12,19.4,4.4,0,0,3.9,132.8
112601,Minced meat,0,5,12,20.1,10,0,0,0,170.4
112602,Canned meat,0,5,12,27.1,14.9,0,0,0,242.5
112701,Game/ Iguana,0,5,12,22.96,2.42,0,0,0,113.62
112702,Dog,0,5,12,12.3,38.8,0,0,1.1,402.8
112703,Donkey,0,5,12,21.39,4.6,0,0,0.39,128.52
112704,Tortoise,0,5,12,16.4,0.3,0,0,0,68.3
112801,"Worms (omaungu, omanghandja, omaenghowa, murere, … etc.)",0,5,12,14.1,3.6,2.6,0,0.7,96.8
112999,Other meat (specify),0,5,12,66.7,7,0,0,0,329.8
113101,Fresh fish,45,7,14,18.8,2.7,0,0,0.3,100.7
