Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,"Food Item Index Matching (Read the text in the comment of this cell)
",Refuse factor (refuse),Item Group (item_grp),Item Group (diversity_grp)
1111.01,Rice,WA_FCT,01_037,,0,,
1111.02,Malt/ Mealie Rice,USDA_FCT,8083,,0,,
1112.01,"Bread (white, brown, whole wheat, rye, maize, etc.)",KFCT,1007,,0,,
1112.02,Brotchen,WA_FCT,01_045,,0,,
1112.03,"Biscuits, rusks",WA_FCT,01_045,,0,,
1112.04,Vetkoek,SA_FCT,3257,,,,
1112.09,"Traditional bread, ash bread, oshikwiila, oshima, omungome",SA_FCT,3285,,,,
1113.01,"Macaroni, spaghetti, noodles",KFCT,1030,,0,,
1114.01,Cakes (all types),SA_FCT,3288,,,,
1114.02,Pies & pizzas,USDA_FCT,18946,,0,,
1115.01,Breakfast cereals (all types),USDA_FCT,8023,,0,,
1115.02,"Baby foods, cereals",USDA,42285,,0,,
1115.03,Bread/ cake flour (all types),SA_FCT,3273,,,,
1115.04,Maize meal/ grain/ samp,KFCT,1018,,,,
1115.05,Mahangu meal/ grain/ samp,WA_FCT,01_017,,0,,
1115.06,Sorghum meal/ grain,WA_FCT,01_039,,0,,
1115.07,Cassava flour,WA_FCT,02_004,,0,,
1119.01,Other bread & cereals (specify),SA_FCT,3239,,,,
1121.01,Beef,WA_FCT,07_005,,0,,
1122.01,Pork,WA_FCT,07_005,,0,,
1123.01,Goat meat,WA_FCT,07_046,,0.26,,
1123.02,Mutton/ Lamb,WA_FCT,07_049,,0.25,,
1124.01,Chicken,WAFCT,07_003,,0,,
1124.02,"Birds, other than chicken",USDA_FCT,5306,,0,,
1125.01,Bacon,WA_FCT,07_005,,0,,
1125.02,Ham,USDA_FCT,7027,,0,,
1125.03,Biltong,WA_FCT,07_009,,0,,
1125.04,"Smoked meat, other than bacon & ham",WA_FCT,07_063,,0,,
1125.05,Polony,USDA_FCT,7027,,0,,
1125.06,"Sausages, other than polony",WA_FCT,07_063,,0,,
1125.07,"Offals, meat waste",WA_FCT,07_021,,0,,
1125.08,Liver & kidneys,WA_FCT,07_001,,0,,
1126.01,Minced meat,WA_FCT,07_023,,0,,
1126.02,Canned meat,WA_FCT,07_025,,0,,
1127.01,Game/ Iguana,USDA_FCT,17164,,0,,
1127.02,Dog,USDA,17170,,0,,
1127.03,Donkey,USDA,17170,,0,,
1127.04,Tortoise,USDA,17170,,0,,
1128.01,"Worms (omaungu, omanghandja, omaenghowa, murere, â€¦ etc.)",WA_FCT,07_056,,0,,
1129.99,Other meat (specify),WA_FCT,07_027,,0,,
1131.01,Fresh fish,WA_FCT,09_041,,0.45,,
1131.02,Frozen fish,WA_FCT,09_003,,0.29,,
1132.01,"Cray fish, all types",USDA_FCT,15145,,0,,
1132.02,"Snails, crabs",USDA_FCT,15227,,0,,
1132.03,Frogs,USDA_FCT,80200,,0,,
1133.01,Smoked fish,USDA_FCT,15035,,0,,
1133.02,Kapenta/ Eentangu (fresh),WA_FCT,09_004,,0.48,,
1133.03,Dried fish,USDA_FCT,35165,,0,,
1134.01,Bottled/ Tinned fish,WA_FCT,09_037,,0,,
1139.99,Other amphibians (specify),USDA_FCT,80200,,0,,
1141.01,Fresh milk,WA_FCT,10_001,,0,,
1141.02,Long life milk,WA_FCT,10_001,,0,,
1141.99,Other dairy products (specify),WA_FCT,10_021,,0,,
1142.01,Fresh milk - Low fat,WA_FCT,10_013,,0,,
1142.02,Long life - Low fat,WA_FCT,10_014,,0,,
1143.01,Condensed milk,WA_FCT,10_015,,0,,
1143.02,Powdered milk,WA_FCT,10_017,A2,0,,
1143.03,Coffee creamer,WA_FCT,10_017,B2,0,,
1143.04,Baby milk powdered,WA_FCT,10_011,B2,0,,
1144.01,Clotted/ Cultured milk,WA_FCT,10_003,B2,0,,
1144.02,Yoghurt,WA_FCT,10_005,A,0,,
1144.03,Traditional sour milk,WA_FCT,10_013,A2,0,,
1145.01,"Cheese, all types",WA_FCT,10_008,A2,0,,
1146.01,Cream,WA_FCT,10_010,A2,0,,
1147.01,Eggs,WA_FCT,08_001,A2,0,,
1151.01,Butter,WA_FCT,11_001,B2,0,,
1152.01,Margarine & margarine spreads,WA_FCT,11_006,B2,0,,
1152.02,Peanut butter,WA_FCT,06_025,C2,0,,
1152.99,"Spreads, other (specify)",West African FCT,11_001,B2,0,,
1154.01,Cooking oil,SA_FCT,3486,,,,
1154.02,Olive oil,WA_FCT,11_010,A,0,,
1155.01,Cooking fats,WA_FCT,11_010,,0,,
1155.02,Omaze ongombe,WA_FCT,11_001,,0,,
1155.03,Komazam & sheep tail fat,WAFCT,4609,,0,,
1159.99,Other oils & fats (specify),WAFCT,4609,,0,,
1161.01,"Citrus fruits (orange, lemon, etc.)",WA_FCT,05_016,,0.27,,
1162.01,Bananas,WA_FCT,05_003,,0.36,,
1163.01,Apples,WA_FCT,05_026,,0.1,,
1164.01,Pears,USDA_FCT,9252,,0,,
1165.01,Apricots,USDA_FCT,9021,,0,,
1165.02,Avocados,Kenya_FCT,5003,,0.29,,
1165.03,Cherries,USDA_FCT,9070,,0,,
