Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,Food description in FCT,Food Item Index Matching (Read the text in the comment of this cell),Refuse factor (refuse),Item Group (item_grp),Water (grams),Ash (grams),Protein (grams) (fd_pro),Total Fat (grams) (fd_fat),Total Fiber (grams) (fd_fib),Alcohol (grams) (fd_alc),Carbohydrates including fiber (Total) (grams),Available Carbohydrates by difference (grams) (fd_car),Calories (Kcal),Computed calories (Kcal) (fd_kcal)
1111.01,Rice,From West African FCT,01_037,"Rice, white, raw",,0,,12.1,0.7,6.9,0.6,1.4,0,78.3,78.3,349,349
1111.02,Malt/ Mealie Rice,USDA FCT,8083,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",,0,,0.9,1.1,4,0.34,1.8,0,93.7,91.86,394,390.1
1112.01,"Bread (white, brown, whole wheat, rye, maize, etc.)",SA_FCT,3210,"Bread/Rolls, white (fortified)",,,,,,,,,,,,,
1112.02,Brotchen,From West African FCT,01_045,"Bread/rolls, white",,0,,34.3,1.7,9.1,2.7,2.7,0,49.6,49.5,264,264.1
1112.03,"Biscuits, rusks",WAFCT,01_045,"Bread/rolls, white",,0,,34.3,1.7,9.1,2.7,2.7,0,49.6,49.5,264,264.1
1112.04,Vetkoek,SA_FCT,3257,"Vetkoek, home-made (cake flour, water)",,,,,,,,,,,,,
1112.09,"Traditional bread, ash bread, oshikwiila, oshima, omungome",SA_FCT,3285,"Bread/Rolls, white, high protein",,,,,,,,,,,,,
1113.01,"Macaroni, spaghetti, noodles",SA_FCT,3262,"Macaroni/Spaghetti, cooked",,,,,,,,,,,,,
1114.01,Cakes (all types),SA_FCT,3288,"Cake, butter, plain, home-made (WM, HM)",,,,,,,,,,,,,
1114.02,Pies & pizzas,USDA,18946,"PIE CRUST,REFR,REG,BKD",,0,,7.96,1.42,3.41,28.69,1.4,0,57.12,57.12,481,503.13
1115.01,Breakfast cereals (all types),USDA,8023,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",,0,,89.93,0.26,0.77,0.1,1.1,0,7.84,7.84,36,37.54
1115.02,"Baby foods, cereals",WAFCT,10_012,"Infant formula, powder, for 6 months",,0,,2,4.6,17.6,19.7,0,0,56.1,56.1,472,472.1
1115.03,Bread/ cake flour (all types),SA_FCT,3273,"Wheat flour, cake flour",,,,,,,,,,,,,
1115.04,Maize meal/ grain/ samp,SA_FCT,4409,"Maize meal, sifted, raw (white, fortified)",,,,,,,,,,,,,
1115.05,Mahangu meal/ grain/ samp,WAFCT,01_017,"Pearl millet, whole grain, raw (with bran)",,0,,10.1,1.5,8.8,5.8,9,0,64.8,64.8,364,364.6
1115.06,Sorghum meal/ grain,WAFCT,01_039,"Sorghum, whole grain, raw ",,0,,10.9,2.4,10.5,3.3,9.9,0,63,63,344,343.5
1115.07,Cassava flour,WAFCT,02_004,Cassava flour,,0,,12.7,2.2,1.9,0.5,3.9,0,78.8,78.8,335,335.1
1119.01,Other bread & cereals (specify),SA_FCT,3239,"Oats, rolled or oatmeal, cooked",,,,,,,,,,,,,
1121.01,Beef,From WestAfrican FCT,07_005,Average beef from average tabs,,0,,64.3,1,18.4,18,0,0,29,0,235,235.6
1122.01,Pork,From WestAfrican FCT,07_005,"Pork, meat, approx. 40 % fat, boneless, raw",,0,,46.6,1.2,12.3,38.8,0,0,1.1,1.1,398,402.8
1123.01,Goat meat,From WestAfrican FCT,07_046,"Goat, meat, raw",,0.26,,68,1.1,17.5,10.6,0,0,0,2.8,165,176.6
1123.02,Mutton/ Lamb,WAFCT,07_049,"Lamb/mutton, meat, moderately fat, boiled* (without salt)",,0.25,,47.5,1.5,24.6,25.2,0,0,1.2,1.2,325,330
1124.01,Chicken,WAFCT,07_003,"Chicken, dark meat, flesh, raw",,0,,72.9,1,20.4,5.9,0,0,-0.2,0,134,134.7
1124.02,"Birds, other than chicken",USDA,5306,"Poultry food products, ground turkey, cooked",,0,,62.07,1.26,27.37,10.4,0,0,0,0,203,203.08
1125.01,Bacon,From the West Africa FCT,07_005,"Pork, meat, approx. 40 % fat, boneless, raw",,1,,46.6,1.2,12.3,38.8,0,0,1.1,1.1,398,402.8
1125.02,Ham,USDA,7027,"HAM,CHOPPED,NOT CANNED",,0,,65.3,3.7,16.5,10.3,0,0,4.2,4.2,180,175.5
1125.03,Biltong,WAFCT,07_009,"Beef, meat, lean, boneless, raw",,0,,73.2,1,21.7,4.3,0,0,0,0,126,125.5
1125.04,"Smoked meat, other than bacon & ham",WAFCT,07_063,"Sausage, wiener (beef, pork, chicken) canned",,0,,64.9,2.6,10.5,19.4,0,0,2.6,2.6,227,227
1125.05,Polony,USDA,7027,"HAM,CHOPPED,NOT CANNED",,0,,61.05,0.9,19.33,19.06,0,0,-0.34,0,254,248.86
1125.06,"Sausages, other than polony",WAFCT,07_063,"Sausage, wiener (beef, pork, chicken) canned",,0,,64.9,2.6,10.5,19.4,0,0,2.6,2.6,227,227
1125.07,"Offals, meat waste",WFCT,07_021,"Beef, tripe, raw",,0,,84.2,0.6,12.1,3.7,0,0,0,0,81,81.7
1125.08,Liver & kidneys,From WestAfrican FCT,07_001,"Beef liver, raw",,0,,71,1.3,19.4,4.4,0,0,3.9,3.9,132,132.8
1126.01,Minced meat,From WestAfrican FCT,07_023,"Beef,  ground, 10 % fat, raw",,0,,69.5,1,20.1,10,0,0,0,0,170,170.4
1126.02,Canned meat,From WestAfrican FCT,07_025,"Beef, meat, cured, corned, canned",,0,,57.7,2.9,27.1,14.9,0,0,-2.6,0,243,242.5
1127.01,Game/ Iguana,USDA,17164,"Game meat,Deer, raw",,0,,73.57,1.16,22.96,2.42,0,0,-0.11,0,120,113.62
1127.02,Dog,From WestAfrican FCT,07_005,"Pork, meat, approx. 40 % fat, boneless, raw",,0,,46.6,1.2,12.3,38.8,0,0,1.1,1.1,398,402.8
