Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
1001,"Amaranth, whole grain, dry, raw",1,1520,10,3.1,14.7,5.6,7.5,59.2,360,162,9.5,270,397,413,3,2.5,21,0,0,0,0,0.07,0.21,0.5,82,82,0,1
1046,"Amaranth, whole grain, dry, stewed (without salt)",1,510,69.8,1.1,4.9,1.9,2.5,19.9,121,56,3.2,91,133,139,3,0.85,7,0,0,0,0,0.02,0.07,0.2,22,22,0,0
1002,"Amaranth, whole grain, flour",1,1540,10.2,3,13.8,6.3,7.1,59.6,365,161,8.9,259,405,461,3,2.7,20,0,0,0,1,0.08,0.15,0.7,,,0,1
1003,"Biscuit, Savoury",1,2060,4.5,1.9,6.6,24.9,3.3,58.9,492,38,1.4,27,177,161,637,0.83,15,8,10,7,15,0.16,0.06,1.3,21,21,0,3
 SD or min-max ,,,,,,,6.5,2.9-3.6,,,35-41,1.1-1.8,24-30,155-198,156-166,635-639,0.81-0.84,12-17,,,0-14,,0.15-0.18,0.04-0.08,0.4-2.1,,13-29,0-0,0-6
 n,,,,1,1,1,3,2,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,2,2,2
1004,"Biscuit, Sweet",1,1930,4.3,1.1,6.1,17.2,2.1,69.3,460,45,1.4,19,98,158,298,0.6,10,40,42,38.5,20,0.09,0.03,0.7,23,23,0.1,7
 SD or min-max,,,,1,,0.3,3.2,2-2.1,,,36-53,1.4-1.5,16-21,85-100,157-158,289-306,0.54-0.63,9-11,,,32-45,,0.08-1.11,0.03-0.04,0.3-1,,18-28,0.1-0.1,3-11
 n,,,,3,1,3,3,2,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,2,2,2
1005,"Bread, Brown",1,1040,36,1.7,8,[1.5],5.9,46.9,245,56,2.6,58,134,191,446,1.3,13,0,0,0,0,0.22,0.01,3.4,37,37,0.05,0
 SD or min-max ,,,,,0.5,,,0.3,,,28,,6,,10,23,0,2,,,0,,,,1.1,,,0.06,0
 n,,,,1,4,1,1,3,,,4,1,3,1,3,3,3,3,,,3,,1,1,3,,1,4,4
1006,"Bread, Sweet",1,1540,23.5,1.8,8.3,14.4,1.5,50.6,368,80,1.9,18,147,227,369,0.8,20,74,77,70,43,0.2,0.16,2.3,33,33,0.23,0.6
 SD or min-max ,,,,21.5-25.5,1.1-2.4,7.1-9.4,11.6-17.1,0.7-2.3,,,73-86,1-2.9,11-24,94-200,103-350,228-510,0.8-84,13-26,,,5-135,,0.02-0.38,0.08-0.23,1.2-3.5,,,0.11-0.35,0-1.2
 n,,,,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,1,2,2
1007,"Bread, White",1,1050,36.9,1.7,7.7,1.9,3.1,48.8,249,37,1.7,27,95,120,466,0.8,10,0,0,0,0,0.16,0.06,3.8,28,28,0.07,0
