Code,Food Name,Mois-g,En-kJ,TotN-g,Prot-g,PlPr-g,AnPr-g,Fat-g,SFA-g,MFA-g,PFA-g,Chol-mg,CHO-g,TFib-g,AdSu-g,Ash-g,Ca-mg,Fe-mg,Mg-mg,P-mg,K-mg,Na-mg,Zn-mg,Cu-mg,Mn-micro-g,A-micro-gRE,Thia-mg,Ribo-mg,Niac-mg,B6-mg,Fol-micro-g,B12-micro-g,Pant-mg,Biot-micro-g,C-mg,D-micro-g,E-mg
3210,"Bread/Rolls, white (fortified)",39.0,1036,1.41,8.8,8.8,0.0,1.4,0.24,0.47,0.22,0,45.9,3.2,tr,1.7,16,3.6,43,96,214,653,2.15,0.15,76,109,0.30,0.09,6.0,1.730,80,0.0,0.33,2.3,0,0.00,0.06
4409,"Maize meal, sifted, raw",11.8,1365,1.35,8.4,8.4,0.0,3.2,0.42,0.83,1.38,0,69.0,6.7,0.0,0.9,12,3.2,98,90,197,4,2.98,0.16,330,196,0.68,0.23,4.6,0.750,225,0.0,0.47,4.2,tr,0.00,0.62
4410,"Maize meal, super, porridge, soft",84.6,266,0.21,1.3,1.3,0.0,0.3,0.04,0.06,0.09,0,13.0,0.7,0.0,0.1,1,0.5,7,11,17,1,0.36,0.02,33,29,0.06,0.03,0.6,0.099,26,0.0,0.06,0.7,0,0.00,0.06
3262,"Macaroni/Spaghetti, cooked",66.0,589,-,4.8,4.8,0.0,0.7,0.10,0.08,0.27,0,26.7,1.6,0.0,0.2,7,0.5,18,54,31,1,0.53,0.10,290,0,0.02,0.02,0.4,0.035,7,0.0,0.11,tr,0,0.00,tr
3285,"Bread/Rolls, white, high protein",33.2,1146,-,11.7,11.7,0.0,2.4,-,-,-,-,47.8,2.7,0.0,-,82,1.6,29,107,154,513,1.20,0.20,-,-,0.11,0.05,1.1,-,-,-,-,-,-,-,-
3239,"Oats, rolled or oatmeal, cooked",85.3,279,-,1.7,1.7,0.0,1.6,0.29,0.51,0.59,0,9.6,1.6,0.0,-,8,0.7,24,77,57,2,0.50,0.06,590,2,0.12,0.02,0.1,0.019,5,0.0,0.20,3.2,0,0.00,0.24
3288,"Cake, butter, plain, home-made",24.4,1508,-,5.1,2.5,2.6,12.4,3.22,5.87,2.42,65,55.8,0.8,31.8,-,36,0.8,9,74,81,238,0.44,0.07,200,106,0.06,0.10,0.2,0.025,13,0.4,0.47,4.0,0,1.80,2.41
3215,"Rusk, home-made, buttermilk, white (HM)",5.0,1993,-,7.2,5.2,2.0,21.3,5.00,10.51,4.49,34,62.3,1.4,22.9,-,212,1.0,13,352,114,1124,0.53,0.07,530,187,0.07,0.09,0.4,0.038,28,0.2,0.37,2.8,0,1.84,3.89
3273,"Wheat ﬂour, cake ﬂour",12.5,1499,1.44,8.2,8.2,0.0,0.9,0.13,0.07,0.38,0,76.3,1.7,0.0,0.4,14,1.2,16,85,105,2,0.62,0.14,634,0,0.12,0.04,1.3,0.033,26,0.0,0.46,1.0,0,0.00,0.06
3257,"Vetkoek, home-made (cake ﬂour, water)",30.9,1524,-,7.2,4.6,2.6,17.7,2.60,3.67,10.12,87,42.4,1.5,0.0,-,16,1.2,10,87,79,27,0.59,0.10,370,14,0.08,0.10,0.4,0.027,20,0.4,0.62,5.1,0,1.67,9.34
4416,"Wheat ﬂour, brown bread ﬂour (fortiﬁed)",14.0,1472,1.99,11.4,11.4,0.0,1.3,-,-,-,0,65.5,6.8,0.0,1.0,7,3.4,55,141,222,7,2.11,0.19,133,190,0.82,0.23,8.0,0.552,499,0.0,0.66,4.4,-,-,0.37
3781,"Average, other vegetables, boiled",86.4,225,0.22,1.4,1.4,0.0,0.2,0.03,0.02,0.06,0,8.2,3.2,0.0,0.6,23,0.8,18,38,226,19,0.29,0.12,226,12,0.06,0.03,0.5,0.085,18,0.0,0.23,4.2,7,0.00,0.21
3486,"Vegetable oil (50% sunflower,",0.0,3700,0.00,0.0,0.0,0.0,100.0,14.84,28.20,52.36,0,0.0,0.0,0.0,-,0,0.0,0,0,0,0,0.00,0.00,0,2,0.00,0.00,0.0,0.000,0,0.0,0.00,0.0,0,0.00,39.22
4130,"Mealie, sweetcorn, raw",76.0,422,0.51,3.2,3.2,0.0,1.2,0.18,0.35,0.56,0,16.3,2.7,0.0,0.6,2,0.5,37,89,270,15,0.45,0.05,161,28,0.20,0.06,1.7,0.055,46,0.0,0.76,-,7,0.00,0.09
3981,"Cold drink, carbonated, average",89.6,175,-,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,10.3,0.0,10.3,-,4,0.1,1,3,1,7,0.04,0.01,40,0,0.00,0.00,0.0,0.000,0,0.0,0.00,0.0,0,0.00,0.00
4007,"Cold drink, Lucozade",81.7,306,-,tr,-,-,0.0,0.00,0.00,0.00,0,18.0,0.0,8.6,-,4,tr,2,4,2,28,tr,0.01,tr,0,tr,tr,tr,tr,tr,0.0,tr,tr,3,0.00,0.00
4288,"Salt, table, iodised",2.0,0,00.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0.0,0.0,0.0,99.8,92,2.0,092,8,0,38850,0.10,0.10,100,0,00.0,00.0,0.0,0.000,0,0.0,0.00,0.0,0,0.00,0.00
4038,"Tea, brewed",7.99,5,00.0,0.0,0.0,0.0,tr,tr,tr,tr,0,0.3,0.0,0.0,-,0,rt,3,1,37,3,0.02,0.01,-,0,00.0,10.0,0.0,0.000,5,0.0,-,-,0,0.00,-
