Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Zinc (milligrams) (zinc),Folate (micrograms) (folate),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin A (micrograms of RAE) (vita_rae),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Copper (milligrams),Vitamin D (micrograms),Vitamin E (milligrams),Niacin (milligrams)
1111.01,Rice,WA_FCT,01_037,,0.0,,,"Rice, white, raw",12.0,1.4,1.16,20,0,0.07,0.04,0,0,0,0.2,0,35,115.0,98,5,0.18,0,0.11,1.3
1111.02,Malt/ Mealie Rice,USDA_FCT,8083,,0.0,,,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",5,6.56,5.7,443.0,60.5,2.83,3.06,865.0,60,872.0,4.7,5.75,4.0,19.0,59.0,871.0,0.09,3.5,,38.5
1112.01,"Bread (white, brown, whole wheat, rye, maize, etc.)",SA_FCT,3210,,0.0,,,"Bread/Rolls, white (fortified)",16,3.6,2.15,80,0,0.30,0.09,,,109,1.730,0.0,43,96,214,653,0.15,0.00,,6.0
1112.02,Brotchen,SA_FCT,3215,,0.0,,,"Rusk, home-made, buttermilk, white (HM)",212,1.0,0.53,28,0,0.07,0.09,,,187,0.038,0.2,13,352,114,1124,0.07,1.84,,0.4
1112.03,"Biscuits, rusks",SA_FCT,3210,,0.0,,,"Bread/Rolls, white (fortified)",16,3.6,2.15,80,0,0.30,0.09,,,109,1.730,0.0,43,96,214,653,0.15,0.00,,6.0
1112.04,Vetkoek,SA_FCT,3257,,,,,"Vetkoek, home-made (cake ﬂour, water)",16,1.2,0.59,20,0,0.08,0.10,,,14,0.027,0.4,10,87,79,27,0.1,1.67,,0.4
1112.09,"Traditional bread, ash bread, oshikwiila, oshima, omungome",SA_FCT,3285,,,,,"Bread/Rolls, white, high protein",82,1.6,1.20,0,0,0.11,0.05,,,0,0,0,29,107,154,513,0.2,0,,1.1
1113.01,"Macaroni, spaghetti, noodles",Kenya_FCT,1030,,0.0,,,"Pasta, macaroni, plain, dry, raw-imported",21,1.9,0.6,17,0,0.07,0.03,0,0,0,,0,44,148,147.6,5.2,,,,1.1
1114.01,Cakes (all types),SA_FCT,3288,,,,,"Cake, butter, plain, home-made",36,0.8,0.44,13,0,0.06,0.10,,,106,0.025,0.4,9,74,81,238,0.07,1.80,,0.2
1114.02,Pies & pizzas,USDA_FCT,18946,,0.0,,,"PIE CRUST,REFR,REG,BKD",12,1.15,0.22,32.0,,0.14,0.037000000000000005,,,,0.02,0.0,9.0,52.0,83.0,472.0,0.051,,,1.285
1115.01,Breakfast cereals (all types),USDA_FCT,8023,,0.0,,,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",60,3.7,3.1,204.0,31.0,0.8,0.9,459.0,0,459.0,1.0,3.1,155.0,397.0,450.0,309.0,0.4,2,,10.2
1115.02,"Baby foods, cereals",USDA_FCT,42285,,0.0,,,"BABYFOOD,CRL,BROWN RICE,DRY,INST",55,47.6,0.0,15.0,0.0,0.93,0.17,0.0,0,0.0,0.98,0.0,28.0,272.0,386.0,9.0,0.368,0,,16
1115.03,Bread/ cake flour (all types),SA_FCT,4416,,,,,"Wheat ﬂour, brown bread ﬂour (fortiﬁed)",7,3.4,2.11,499,0,0.82,0.23,,,190,0.552,0.0,55,141,222,7,0.19,0,,8.0
1115.04,Maize meal/ grain/ samp,SA_FCT,4409,,,,,"Maize meal, sifted, raw",12,3.2,2.98,225,0,0.68,0.23,,,196,0.750,0.0,98,90,197,4,0.16,0.00,,4.6
1115.05,Mahangu meal/ grain/ samp,WA_FCT,01_017,,0.0,,,"Pearl millet, whole grain, raw (with bran)",14.0,7.6,2.83,30,0,0.32,0.27,0,3,0,0.74,0,97,207.0,401,19,0.45,0,0.07,2.4
1115.06,Sorghum meal/ grain,WA_FCT,01_039,,0.0,,,"Sorghum, whole grain, raw ",24.0,3.7,1.79,29,0,0.36,0.16,0,17,1,0.25,0,311,297.0,377,14,0.38,0,1.1,3.3
1115.07,Cassava flour,WA_FCT,02_004,,0.0,,,Cassava flour,138.0,1.5,0.74,47,4,0.07,0.11,0,,,0.17,0,45,102.0,587,30,0.22,0,0.35,1.2
1119.01,Other bread & cereals (specify),SA_FCT,3239,,,,,"Oats, rolled or oatmeal, cooked",8,0.7,0.50,5,0,0.12,0.02,,,2,0.019,0.0,24,77,57,2,0.06,0.00,,0.1
1121.01,Beef,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,3.6,3,0,0.6,0.17,0,0,0,0.38,0.7,16,165.0,300,60,0.1,1,0.1,3.6
1122.01,Pork,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,3.6,3,0,0.6,0.17,0,0,0,0.38,0.7,16,165.0,300,60,0.1,1,0.1,3.6
1123.01,Goat meat,WA_FCT,07_046,,0.26,,,"Goat, meat, raw",11.0,2.4,3.45,5,0,0.18,0.29,0,0,0,0.4,1.1,27,150.0,385,82,0.16,,0.18,6.1
1123.02,Mutton/ Lamb,WA_FCT,07_049,,0.25,,,"Lamb/mutton, meat, moderately fat, boiled* (without salt)",12.0,3.1,4.97,2,0,0.08,0.15,12,0,12,0.24,2.6,21,178.0,205,68,0.16,0.3,0.25,2.6
1124.01,Chicken,WA_FCT,07_030,,0.0,,,"Chicken, dark meat, flesh and skin, raw",11.0,1,1.58,7,0,0.06,0.15,49,0,49,0.25,0.3,19,136.0,178,73,0.05,0.2,0.30,5.2
1124.02,"Birds, other than chicken",USDA_FCT,5306,,0.0,,,"Poultry food products, ground turkey, cooked",28,1.52,3.11,7.0,0.0,0.077,0.21100000000000002,24.0,0,24.0,0.633,1.34,30.0,254.0,294.0,78.0,0.151,0.2,,8.724
1125.01,Bacon,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,3.6,3,0,0.6,0.17,0,0,0,0.38,0.7,16,165.0,300,60,0.1,1,0.1,3.6
1125.02,Ham,USDA_FCT,7027,,0.0,,,"HAM,CHOPPED,NOT CANNED",7,0.83,1.94,1.0,0.0,0.632,0.204,0.0,0,0.0,0.35,0.92,16.0,155.0,319.0,1330.0,0.06,0.7,,3.88
1125.03,Biltong,WA_FCT,07_009,,0.0,,,"Beef, meat, lean, boneless, raw",5.0,2.1,3.6,7,0,0.06,0.19,0,0,0,0.23,1.4,22,170.0,360,50,0.09,0.4,0.23,6.2
1125.04,"Smoked meat, other than bacon & ham",WA_FCT,07_063,,0.0,,,"Sausage, wiener (beef, pork, chicken) canned",10.0,0.88,1.6,4,0,0.09,0.11,0,0,0,0.12,1,7,49.0,101,969,0.03,0.6,0.22,1.6
1125.05,Polony,USDA_FCT,7027,,0.0,,,"HAM,CHOPPED,NOT CANNED",7,0.83,1.94,1.0,0.0,0.632,0.204,0.0,0,0.0,0.35,0.92,16.0,155.0,319.0,1330.0,0.06,0.7,,3.88
1125.06,"Sausages, other than polony",WA_FCT,07_063,,0.0,,,"Sausage, wiener (beef, pork, chicken) canned",10.0,0.88,1.6,4,0,0.09,0.11,0,0,0,0.12,1,7,49.0,101,969,0.03,0.6,0.22,1.6
1125.07,"Offals, meat waste",WA_FCT,07_021,,0.0,,,"Beef, tripe, raw",69.0,0.6,1.42,5,0,0,0.06,0,0,0,0.01,1.4,13,64.0,67,97,0.07,0,0.09,0.9
1125.08,Liver & kidneys,WA_FCT,07_001,,0.0,,,"Beef liver, raw",7.0,8.8,3.5,290,1.3,0.19,1.56,4950,245,4970,1.08,59.3,18,369.0,313,69,9.76,1.2,0.38,13.2
1126.01,Minced meat,WA_FCT,07_023,,0.0,,,"Beef,  ground, 10 % fat, raw",12.0,2.2,4.79,6,0,0.04,0.16,0,0,0,0.37,2.2,20,184.0,321,66,0.07,0.1,0.32,5.1
1126.02,Canned meat,WA_FCT,07_025,,0.0,,,"Beef, meat, cured, corned, canned",12.0,2.1,3.57,9,0,0.02,0.15,0,0,0,0.13,1.6,14,111.0,136,1010,0.06,0.2,0.15,2.4
1127.01,Game/ Iguana,USDA_FCT,17164,,0.0,,,"GAME MEAT,DEER,RAW",5,3.4,2.09,4.0,0.0,0.22,0.48,0.0,0,0.0,0.37,6.31,23.0,202.0,318.0,51.0,0.253,,,6.37
1127.02,Dog,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,2.9,,1.0,0.13,0.1,0.0,,0.0,0.38,3.0,24.0,221.0,360.0,53.0,0.14400000000000002,,,4.6
1127.03,Donkey,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,2.9,,1.0,0.13,0.1,0.0,,0.0,0.38,3.0,24.0,221.0,360.0,53.0,0.14400000000000002,,,4.6
1127.04,Tortoise,USDA_FCT,17170,,0.0,,,"GAME MEAT,HORSE,RAW",6,3.82,2.9,,1.0,0.13,0.1,0.0,,0.0,0.38,3.0,24.0,221.0,360.0,53.0,0.14400000000000002,,,4.6
1128.01,"Worms (omaungu, omanghandja, omaenghowa, murere, â€¦ etc.)",WA_FCT,07_056,,0.0,,,"Mopanie worm, canned",39.0,7,3.18,,0,0.13,1.13,,,,,,36,123.0,232,234,0.21,,,2.7
1129.99,Other meat (specify),WA_FCT,07_027,,0.0,,,"Game meat, dried",15.0,9.9,6.06,12,0,0.64,1.39,0,0,0,1.07,18.3,67,586.0,923,2210,0.73,,0.58,18.5
1131.01,Fresh fish,WA_FCT,09_041,,0.45,,,"Tilapia, raw",17.0,1.3,0.83,24,0,0.04,0.06,26,0,26,0.24,1.6,36,275.0,378,52,0.06,3.1,0.40,3.5
1131.02,Frozen fish,WA_FCT,09_003,,0.29,,,"Mackerel, raw",28.0,0.8,0.49,1,0,0.14,0.14,39,0,39,0.4,2.4,33,210.0,446,59,0.06,7.3,0.69,5.3
1132.01,"Cray fish, all types",USDA_FCT,15145,,0.0,,,"CRAYFISH,MXD SP,WILD,RAW",27,0.84,1.3,37.0,1.2,0.07,0.032,16.0,0,16.0,0.10800000000000001,2.0,27.0,256.0,302.0,58.0,0.419,0,,2.208
1132.02,"Snails, crabs",USDA_FCT,15227,,0.0,,,"CRAB,QUEEN,CKD,MOIST HEAT",33,2.88,3.59,42.0,7.2,0.09699999999999999,0.244,52.0,,52.0,0.17300000000000001,10.38,63.0,128.0,200.0,691.0,0.621,,,2.885
1132.03,Frogs,USDA_FCT,80200,,0.0,,,"FROG LEGS,RAW",18,1.5,1.0,15.0,0.0,0.14,0.25,15.0,0,15.0,0.12,0.4,20.0,147.0,285.0,58.0,0.25,0.2,,1.2
1133.01,Smoked fish,USDA_FCT,15035,,0.0,,,"HADDOCK,SMOKED",49,1.4,0.5,15.0,0.0,0.047,0.049,24.0,0,24.0,0.4,1.6,54.0,251.0,415.0,763.0,0.042,0.8,,5.073
1133.02,Kapenta/ Eentangu (fresh),WA_FCT,09_004,,0.48,,,"Sardine, raw",71.0,1.8,1.57,4,0,0.02,0.21,18,6,19,0.96,11,35,281.0,499,77,0.07,11,0.73,9.4
1133.03,Dried fish,USDA_FCT,35165,,0.0,,,"FISH,WHITEFISH,DRIED (ALASKA NATIVE)",810,4.1,5.0,11.0,0.0,0.053,0.43799999999999994,39.0,0,39.0,0.365,18.4,85.0,1040.0,1080.0,200.0,0.18,,,11.2
1134.01,Bottled/ Tinned fish,WA_FCT,09_037,,0.0,,,"Sardines in oil, canned (drained solids with bone)",382.0,2.9,1.31,10,0,0.08,0.23,32,0,32,0.17,8.9,39,490.0,397,505,0.19,12,2.04,5.2
1139.99,Other amphibians (specify),USDA_FCT,80200,,0.0,,,"FROG LEGS,RAW",18,1.5,1.0,15.0,0.0,0.14,0.25,15.0,0,15.0,0.12,0.4,20.0,147.0,285.0,58.0,0.25,0.2,,1.2
1141.01,Fresh milk,WA_FCT,10_001,,0.0,,,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",120.0,0.05,0.39,10,1.5,0.04,0.18,31,18,33,0.05,0.6,11,92.0,153,45,0.01,0.1,0.09,0.1
1141.02,Long life milk,WA_FCT,10_001,,0.0,,,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",120.0,0.05,0.39,10,1.5,0.04,0.18,31,18,33,0.05,0.6,11,92.0,153,45,0.01,0.1,0.09,0.1
1141.99,Other dairy products (specify),WA_FCT,10_021,,0.0,,,"Yoghurt, whole milk, with fruits",118.0,0.1,0.47,23,0.7,0.04,0.16,27,14,28,0.04,0.2,12,88.0,152,41,0.01,0.1,0.08,0.1
1142.01,Fresh milk - Low fat,WA_FCT,10_013,,0.0,,,"Milk, cow, partly skimmed, 1.5 % fat",122.0,0.03,0.41,12,1.3,0.05,0.18,13,7,14,0.05,0.5,12,96.0,153,43,0.01,0.1,0.04,0.1
1142.02,Long life - Low fat,WA_FCT,10_014,,0.0,,,"Milk, cow,  skimmed, 0.5 % fat",124.0,0.03,0.41,6,1.3,0.04,0.17,4,2,4,0.05,0.5,12,97.0,157,44,0.01,0.1,0.01,0.1
1143.01,Condensed milk,WA_FCT,10_015,,0.0,,,"Milk, cow, canned, condensed, sweetened",284.0,0.2,0.94,11,2.6,0.09,0.42,73,14,74,0.05,0.4,26,253.0,371,127,0.02,0.2,0.16,0.2
1143.02,Powdered milk,WA_FCT,10_017,A2,0.0,,,"Milk, cow powder, skimmed",1260.0,0.3,4.08,50,6.8,0.42,1.55,15,7,15,0.36,4,110,968.0,1790,535,0.04,0,0.04,1
1143.03,Coffee creamer,WA_FCT,10_017,B2,0.0,,,"Milk, cow powder, skimmed",1260.0,0.3,4.08,50,6.8,0.42,1.55,15,7,15,0.36,4,110,968.0,1790,535,0.04,0,0.04,1
1143.04,Baby milk powdered,WA_FCT,10_011,B2,0.0,,,"Infant formula, powder, for 3 months",358.0,9.3,3.9,39,43,0.52,0.78,467,0,467,0.33,1,31,280.0,482,140,0.37,7.8,5,3.9
1144.01,Clotted/ Cultured milk,WA_FCT,10_003,B2,0.0,,,"Milk, goat, raw",142.0,0.1,0.3,1,1.5,0.06,0.17,33,0,33,0.04,0.1,14,119.0,215,48,0.02,0.1,0.03,0.3
1144.02,Yoghurt,WA_FCT,10_005,A,0.0,,,"Yoghurt, whole milk, plain",152.0,0.1,0.58,12,0.7,0.04,0.2,29,16,30,0.04,0.3,15,127.0,209,64,0.02,0.1,0.09,0.1
1144.03,Traditional sour milk,WA_FCT,10_013,A2,0.0,,,"Milk, cow, partly skimmed, 1.5 % fat",122.0,0.03,0.41,12,1.3,0.05,0.18,13,7,14,0.05,0.5,12,96.0,153,43,0.01,0.1,0.04,0.1
1145.01,"Cheese, all types",WA_FCT,10_008,A2,0.0,,,"Cheese, Gouda",753.0,0.5,3.82,21,0,0.04,0.33,164,0,165,0.08,1.5,30,556.0,96,665,0.05,0.4,1.23,0.1
1146.01,Cream,WA_FCT,10_010,A2,0.0,,,"Cream, 13 % fat",104.0,0.04,0.37,12,1,0.04,0.19,115,59,120,0.05,0.4,11,79.0,136,39,0.01,0.2,0.34,0.1
1147.01,Eggs,WA_FCT,08_001,A2,0.0,,,"Egg, chicken, raw",56.0,1.8,1.29,47,0,0.04,0.46,160,5,160,0.17,0.9,12,198.0,138,142,0.07,2,1.05,0.1
1151.01,Butter,WA_FCT,11_001,B2,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,0.12,3,0,0.01,0.03,675,262,696,0,0.1,2,21.0,19,16,0.01,1.1,2.11,0.1
1152.01,Margarine & margarine spreads,WA_FCT,11_006,B2,0.0,,,"Margarine, fortified",3.0,0.1,0,1,0.2,0.01,0.04,768,610,819,0.01,0.1,3,5.0,18,751,0.0,0,9.00,0.02
1152.02,Peanut butter,WA_FCT,06_025,C2,0.0,,,"Groundnut, combined varieties, shelled, dried, raw (Ghana)",51.0,6.2,2.5,109,0,0.87,0.13,0,0,0,0.58,0,191,394.0,720,6,0.85,0,10.09,15.3
1152.99,"Spreads, other (specify)",WA_FCT,11_001,B2,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,0.12,3,0,0.01,0.03,675,262,696,0,0.1,2,21.0,19,16,0.01,1.1,2.11,0.1
1154.01,Cooking oil,SA_FCT,3486,,,,,"Vegetable oil (50% sunflower,",0,0.0,0.00,0,0,0.00,0.00,,,2,0.000,0.0,0,0,0,0,0.0,0.00,,0.0
1154.02,Olive oil,WA_FCT,11_010,A,0.0,,,Vegetable oil,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,39.22,0
1155.01,Cooking fats,WA_FCT,11_010,,0.0,,,Vegetable oil,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,39.22,0
1155.02,Omaze ongombe,WA_FCT,11_001,,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,0.12,3,0,0.01,0.03,675,262,696,0,0.1,2,21.0,19,16,0.01,1.1,2.11,0.1
1155.03,Komazam & sheep tail fat,USDA_FCT,4609,,0.0,,,"ANIMAL FAT,BACON GREASE",0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2.5,,0
1159.99,Other oils & fats (specify),USDA_FCT,4609,,0.0,,,"ANIMAL FAT,BACON GREASE",0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2.5,,0
1161.01,"Citrus fruits (orange, lemon, etc.)",WA_FCT,05_016,,0.27,,,"Orange, raw",31.0,0.2,0.1,33,46.8,0.04,0.03,0,90,8,0.07,0,11,19.0,166,2,0.05,0,0.28,0.2
1162.01,Bananas,WA_FCT,05_003,,0.36,,,"Banana, white flesh, raw",7.0,0.3,0.17,19,10.4,0.04,0.04,0,50,4,0.34,0,29,24.0,369,2,0.08,0,0.37,0.6
1163.01,Apples,WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,0.04,3,4.6,0.02,0.03,0,33,3,0.04,0,5,11.0,107,1,0.03,0,0.18,0.1
1164.01,Pears,USDA_FCT,9252,,0.0,,,"PEARS,RAW",9,0.17,0.1,7.0,4.2,0.012,0.025,0.0,13,1.0,0.027999999999999997,0.0,7.0,11.0,119.0,1.0,0.08199999999999999,0,,0.157
