Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1111.01,Rice,WA_FCT,01_037,,0.0,,,"Rice, white, raw",12.0,1.4,35,115.0,98,5,1.16,0.18,0,0,0,0,0.11,0.07,0.04,1.3,0.2,20,0,0,
1115.05,Mahangu meal/ grain/ samp,WA_FCT,01_017,,0.0,,,"Pearl millet, whole grain, raw (with bran)",14.0,[7.6],97,207.0,401,19,2.83,0.45,0,0,[3],0,0.07,0.32,0.27,2.4,0.74,30,0,0,
1115.06,Sorghum meal/ grain,WA_FCT,01_039,,0.0,,,"Sorghum, whole grain, raw ",24.0,3.7,311,297.0,377,14,1.79,0.38,1,0,[17],0,1.1,0.36,0.16,3.3,0.25,29,0,0,
1115.07,Cassava flour,WA_FCT,02_004,,0.0,,,Cassava flour,138.0,1.5,45,102.0,587,30,0.74,0.22,,0,,0,[0.35],0.07,0.11,1.2,0.17,47,0,4,
1121.01,Beef,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,16,165.0,300,60,3.6,0.1,0,0,0,1,0.1,0.6,0.17,3.6,0.38,3,0.7,0,
1122.01,Pork,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,16,165.0,300,60,3.6,0.1,0,0,0,1,0.1,0.6,0.17,3.6,0.38,3,0.7,0,
1123.01,Goat meat,WA_FCT,07_046,,0.26,,,"Goat, meat, raw",11.0,2.4,27,150.0,385,82,3.45,0.16,0,0,0,,0.18,0.18,0.29,6.1,0.4,5,1.1,0,
1123.02,Mutton/ Lamb,WA_FCT,07_049,,0.25,,,"Lamb/mutton, meat, moderately fat, boiled* (without salt)",12.0,3.1,21,178.0,205,68,4.97,0.16,12,12,0,0.3,0.25,0.08,0.15,2.6,0.24,2,2.6,0,
1124.01,Chicken,WA_FCT,07_030,,0.0,,,"Chicken, dark meat, flesh and skin, raw",11.0,1,19,136.0,178,73,1.58,0.05,49,49,0,0.2,[0.30],0.06,0.15,5.2,0.25,7,0.3,0,
1125.01,Bacon,WA_FCT,07_005,,0.0,,,"Pork, meat, approx. 40 % fat, boneless, raw",11.0,1.8,16,165.0,300,60,3.6,0.1,0,0,0,1,0.1,0.6,0.17,3.6,0.38,3,0.7,0,
