col_names,adept_col_names
Code,Code
Ca-mg,Calcium (milligrams) (calcium)
Fe-mg,Iron (milligrams) (iron)
Mg-mg,Magnesium (milligrams)
P-mg,Phosphorus (milligrams)
K-mg,Potassium (milligrams)
Na-mg,Sodium (milligrams)
Zn-mg,Zinc (milligrams) (zinc)
Cu-mg,Copper (milligrams)
A-micro-gRE,Vitamin A (micrograms of RAE) (vita_rae)
Thia-mg,Vitamin B1 (Thiamine) (milligrams) (vit_b1)
Ribo-mg,Vitamin B2 (Riboflavin) (milligrams) (vit_b2)
Niac-mg,Niacin (milligrams)
B6-mg,Vitamin B6 (Pyridoxine) (milligrams) (vit_b6)
Fol-micro-g,Folate (micrograms) (folate)
B12-micro-g,Vitamin B12 (Cobalamine) (micrograms) (vit_b12)
C-mg,Vitamin C (Ascorbic Acid) (milligrams) (vit_c)
D-micro-g,Vitamin D (micrograms)
