col_names,adept_col_names
NDB_No,Code
Calcium_(mg),Calcium (milligrams) (calcium)
Iron_(mg),Iron (milligrams) (iron)
Magnesium_(mg),Magnesium (milligrams)
Phosphorus_(mg),Phosphorus (milligrams)
Potassium_(mg),Potassium (milligrams)
Sodium_(mg),Sodium (milligrams)
Zinc_(mg),Zinc (milligrams) (zinc)
Copper_mg),Copper (milligrams)
Vit_C_(mg),Vitamin C (Ascorbic Acid) (milligrams) (vit_c)
Thiamin_(mg),Vitamin B1 (Thiamine) (milligrams) (vit_b1)
Riboflavin_(mg),Vitamin B2 (Riboflavin) (milligrams) (vit_b2)
Niacin_(mg),Niacin (milligrams)
Vit_B6_(mg),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6)
Folate_Tot_(mcg),Folate (micrograms) (folate)
Vit_B12_(mcg),Vitamin B12 (Cobalamine) (micrograms) (vit_b12)
Vit_A_RAE,Vitamin A (micrograms of RAE) (vita_rae)
Retinol_(mcg),Retinol (micrograms) (retinol)
Beta_Carot_(mcg),Betacarotene equivalents (micrograms) (betacar)
Vit_D_mcg,Vitamin D (micrograms)
