,salt_tested_0 ppm (no iodine),salt_tested_15+ ppm,salt_tested_< 15 ppm,Weighted_Count
completed,0.17178519048442423,0.6291470604094727,0.19906774910610306,5741.7
rural,0.23796094126782713,0.5949444445814329,0.16709461415073998,3428.9
urban,0.07367388482840304,0.6798554128802071,0.2464707022913897,2312.8
caprivi,0.04623622929175974,0.7255094525654869,0.22825431814275335,280.7
erongo,0.06349742952399941,0.6652452018826827,0.27125736859331767,400.6
hardap,0.20189937162308813,0.5458210972105839,0.25227953116632784,249.5
karas,0.14701204804469856,0.592207045461016,0.2607809064942854,251.9
kavango,0.4567177493848381,0.46412286476264003,0.07915938585252186,327.1
khomas,0.05126537715791119,0.6926450345968586,0.25608958824523026,981.3
kunene,0.23968236949337682,0.5415006923646238,0.21881693814199918,168.9
ohangwena,0.07049008450394305,0.7881507651916275,0.14135915030442928,535.9
omaheke,0.6038457958588531,0.22996837959966293,0.16618582454148412,190.8
omusati,0.2239360884021222,0.6285724368335351,0.14749147476434274,616.3
oshana,0.21362655104448053,0.7141558456480135,0.072217603307506,561.0
oshikoto,0.11562381091606465,0.7489017582992392,0.13547443078469623,497.6
otjozondjupa,0.2234117193532755,0.4513592762182234,0.325229004428501,680.1
