,"shop, supermarket",open market,salt pan,other,don't know,Weighted_Count
completed,0.7693238160330637,0.050717454083151495,0.040140938167979465,0.041863558493208,0.0024303301263599465,6392.0
rural,0.6843616228533714,0.06888995600855906,0.05924207389478228,0.06319990318014558,0.0037581721177363143,3913.3
urban,0.9034608312056992,0.02202698511964811,0.009984356317722697,0.008178062816945263,0.00033395343599589857,2478.7
caprivi,0.689862686595646,0.015089986359040158,0.0,0.007062586213398914,0.0,391.6
erongo,0.9026768960253301,0.01842316125837772,0.032890306707281144,0.0016221438146734452,0.001035608447528701,425.5
hardap,0.7664772217785523,0.011073990010017905,0.004821623026070999,0.05192082721724154,0.00398622910455293,297.1
karas,0.9357929401957953,0.011236677442771917,0.005684750261156067,0.0,0.0012899381558666957,263.1
kavango,0.7173163757565975,0.050766370825124016,0.0,0.05898697805299563,0.0,396.9
khomas,0.9454586556706284,0.007099617295723837,0.0019311929338935076,0.010612595844439101,0.0,1026.9
kunene,0.5565428729773512,0.04257478083873615,0.01082917416044337,0.06108022427100664,0.023337501669920106,244.4
ohangwena,0.6765034305455131,0.17747637746310171,0.01136038656617121,0.009115006396781963,0.0025357464321276012,613.8
omaheke,0.6331181577851487,0.007903300350893957,0.01633841697623192,0.20074994678258898,0.009470891981242858,222.2
omusati,0.6536124882577109,0.11912653497451203,0.1719184624234386,0.021093567719893912,0.0021138331164123367,642.3
oshana,0.710443887045862,0.061291591304575385,0.1749572967357954,0.0,0.0038113590990681576,594.4
oshikoto,0.8144025816815204,0.056979234444462894,0.013348247987436467,0.05466069436467767,0.0,537.2
otjozondjupa,0.7632654120465237,0.01641719857813,0.0038520164438083995,0.14439273712350664,0.0007901614312053347,736.6
