region,source,source
!Karas,Supermarket,629
!Karas,Own produce,79
!Karas,From employer,69
!Karas,Open market/ Vendor,37
!Karas,From relative,6
!Karas,Take away,5
!Karas,Restaurant/ Hotel,4
!Karas,Neighbors,3
!Karas,Shebeen,3
!Karas,Petrol station,1
Erongo,Supermarket,854
Erongo,Own produce,29
Erongo,From employer,28
Erongo,Other (Specify),18
Erongo,From relative,9
Erongo,Shebeen,5
Erongo,Open market/ Vendor,4
Erongo,Take away,4
Erongo,Petrol station,1
Erongo,Restaurant/ Hotel,1
Hardap,Supermarket,832
Hardap,Own produce,166
Hardap,From employer,105
Hardap,Neighbors,19
Hardap,From relative,15
Hardap,Take away,8
Hardap,Shebeen,5
Hardap,Open market/ Vendor,3
Hardap,Other (Specify),2
Hardap,Petrol station,1
Kavango East,Supermarket,135
Kavango East,From employer,35
Kavango East,Own produce,27
Kavango East,Neighbors,20
Kavango East,Open market/ Vendor,14
Kavango East,Shebeen,11
Kavango East,Other (Specify),10
Kavango East,From relative,9
Kavango West,Own produce,63
Kavango West,From employer,58
Kavango West,Supermarket,55
Kavango West,Neighbors,19
Kavango West,Shebeen,9
Kavango West,From relative,8
Kavango West,Open market/ Vendor,2
Kavango West,Restaurant/ Hotel,1
Khomas,Supermarket,1234
Khomas,Open market/ Vendor,34
Khomas,From employer,19
Khomas,Shebeen,16
Khomas,Other (Specify),13
Khomas,Neighbors,11
Khomas,Own produce,9
Khomas,From relative,3
Khomas,Take away,3
Khomas,Petrol station,2
Kunene,Supermarket,181
Kunene,Own produce,151
Kunene,From employer,76
Kunene,From relative,27
Kunene,Open market/ Vendor,15
Kunene,Shebeen,5
Kunene,Neighbors,3
Kunene,Other (Specify),1
Ohangwena,Supermarket,26
Ohangwena,Shebeen,13
Ohangwena,Own produce,8
Ohangwena,From relative,1
Ohangwena,Neighbors,1
Omaheke,Own produce,568
Omaheke,From employer,228
Omaheke,Supermarket,123
Omaheke,From relative,29
Omaheke,Neighbors,16
Omaheke,Open market/ Vendor,9
Omaheke,Shebeen,5
Omaheke,Bottle store,1
Omaheke,From nature,1
Omaheke,Other (Specify),1
Omaheke,Petrol station,1
Omusati,Supermarket,147
Omusati,Shebeen,3
Omusati,From relative,2
Omusati,Open market/ Vendor,2
Omusati,Own produce,1
Omusati,Take away,1
Oshana,Supermarket,301
Oshana,Own produce,13
Oshana,From relative,6
Oshana,Other (Specify),5
Oshana,Shebeen,5
Oshana,Neighbors,4
Oshana,Open market/ Vendor,2
Oshana,From employer,1
Oshikoto,Supermarket,133
Oshikoto,Own produce,12
Oshikoto,From relative,4
Oshikoto,Other (Specify),2
Oshikoto,Shebeen,1
Otjozondjupa,Supermarket,584
Otjozondjupa,Own produce,198
Otjozondjupa,From employer,112
Otjozondjupa,Open market/ Vendor,63
Otjozondjupa,From relative,36
Otjozondjupa,Neighbors,26
Otjozondjupa,Other (Specify),4
Otjozondjupa,Shebeen,3
Otjozondjupa,Take away,3
Zambezi,Own produce,225
Zambezi,Supermarket,157
Zambezi,From relative,88
Zambezi,Open market/ Vendor,67
Zambezi,From employer,17
Zambezi,Shebeen,17
Zambezi,Neighbors,6
Zambezi,Petrol station,5
Zambezi,Take away,3
Zambezi,Other (Specify),1
