Region,Bread_mean,Bread_median
Total,174.58787734165176,147.44330962763007
!Karas,2794.293526079288,350.0
Erongo,135.73810368151612,140.0
Hardap,166.15492340992344,142.58333333333334
Kavango East,165.78688492063492,140.3125
Kavango West,150.36325396825396,140.0
Khomas,154.11918649739752,140.0
Kunene,1481.9392213642213,233.33333333333334
Ohangwena,131.2787416712076,127.53014233241507
Omaheke,271.39222222222224,233.33333333333334
Omusati,114.6845907524414,105.0
Oshana,140.4124333779915,140.0
Oshikoto,127.82285386498293,120.1780303030303
Otjozondjupa,158.9377882673387,140.0
Zambezi,194.91338124838123,183.28703703703704
