Region,Bread_mean,Bread (Aaron),Bread (ADePT)
Total,174.5878773,147.4,166.7
!Karas,2794.293526,350.0,258.0
Erongo,135.7381037,140.0,360.8
Hardap,166.1549234,142.6,301.6
Kavango East,165.7868849,140.3,65.0
Kavango West,150.363254,140.0,31.5
Khomas,154.1191865,140.0,253.0
Kunene,1481.939221,233.3,82.9
Ohangwena,131.2787417,127.5,65.7
Omaheke,271.3922222,233.3,133.1
Omusati,114.6845908,105.0,110.8
Oshana,140.4124334,140.0,190.0
Oshikoto,127.8228539,120.2,96.1
Otjozondjupa,158.9377883,140.0,236.9
Zambezi,194.9133812,183.3,68.5
